Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:47,10,171
1,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:57,70,180
2,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:07,163,185
3,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:17,163,185
4,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:28,163,185
5,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:38,165,188
6,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:48,165,188
7,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:58,161,194
8,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:08,159,193
9,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:18,159,193
10,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:28,158,199
11,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:38,161,202
12,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:49,161,202
13,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:59,163,202
14,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:09,163,206
15,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:19,163,206
16,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:29,164,211
17,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:39,168,213
18,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:49,168,213
19,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:59,162,218
20,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:10,162,219
21,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:20,162,219
22,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:30,162,219
23,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:40,160,225
24,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:50,160,225
25,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:00,160,228
26,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:10,161,232
27,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:20,158,235
28,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:31,158,235
29,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:41,158,237
30,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:51,159,241
