Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1770873098,175,303.0
1,1770873099,431,557.5
2,1770873100,684,596.0
3,1770873101,508,636.0
4,1770873102,764,627.0
5,1770873103,490,618.5
6,1770873104,747,614.0
7,1770873105,481,608.5
8,1770873106,736,608.0
9,1770873107,480,607.5
10,1770873108,735,606.5
11,1770873109,478,605.5
12,1770873110,733,609.5
13,1770873111,486,614.0
14,1770873112,742,614.0
15,1770873113,486,614.5
16,1770873114,743,612.5
17,1770873115,482,610.0
18,1770873116,738,610.5
19,1770873117,483,610.5
20,1770873118,738,611.0
21,1770873119,484,612.5
22,1770873120,741,610.0
23,1770873121,479,606.5
24,1770873122,734,606.0
25,1770873123,478,606.5
26,1770873124,735,606.5
27,1770873125,478,606.0
28,1770873126,734,607.5
29,1770873127,481,609.5
30,1770873128,738,607.5
31,1770873129,477,607.5
32,1770873130,738,611.0
33,1770873131,484,610.5
34,1770873132,737,607.0
35,1770873133,477,604.5
36,1770873134,732,604.0
37,1770873135,476,604.0
38,1770873136,732,609.0
39,1770873137,486,613.0
40,1770873138,740,611.5
41,1770873139,483,611.0
42,1770873140,739,611.5
43,1770873141,484,611.5
44,1770873142,739,610.0
45,1770873143,481,609.0
46,1770873144,737,609.5
47,1770873145,482,610.5
48,1770873146,739,609.0
49,1770873147,479,606.5
50,1770873148,734,609.5
51,1770873149,485,613.0
52,1770873150,741,614.5
53,1770873151,488,616.5
54,1770873152,745,612.5
55,1770873153,480,607.5
56,1770873154,735,609.0
57,1770873155,483,611.0
58,1770873156,739,610.5
59,1770873157,482,609.5
60,1770873158,737,608.0
61,1770873159,479,607.0
62,1770873160,735,608.5
63,1770873161,482,610.0
64,1770873162,738,609.0
65,1770873163,480,607.0
66,1770873164,734,607.0
67,1770873165,480,607.0
68,1770873166,734,608.5
69,1770873167,483,613.5
70,1770873168,744,611.5
71,1770873169,479,607.5
72,1770873170,736,609.0
73,1770873171,482,609.5
74,1770873172,737,608.0
75,1770873173,479,606.5
76,1770873174,734,607.5
77,1770873175,481,608.5
78,1770873176,736,607.5
79,1770873177,479,607.0
80,1770873178,735,609.0
81,1770873179,483,611.0
82,1770873180,739,609.0
83,1770873181,479,606.0
84,1770873182,733,604.5
85,1770873183,476,603.5
86,1770873184,731,602.5
87,1770873185,474,602.0
88,1770873186,730,609.0
89,1770873187,488,616.0
90,1770873188,744,615.0
91,1770873189,486,614.0
92,1770873190,742,611.5
93,1770873191,481,608.5
94,1770873192,736,609.5
95,1770873193,483,611.0
96,1770873194,739,609.0
97,1770873195,479,607.0
98,1770873196,735,610.0
99,1770873197,485,612.5
100,1770873198,740,611.0
101,1770873199,482,610.0
102,1770873200,738,610.0
103,1770873201,482,609.5
104,1770873202,737,609.5
105,1770873203,482,610.0
106,1770873204,738,607.5
107,1770873205,477,608.0
108,1770873206,739,609.5
109,1770873207,480,608.5
110,1770873208,737,609.0
111,1770873209,481,609.5
112,1770873210,738,609.5
113,1770873211,481,609.0
114,1770873212,737,609.5
115,1770873213,482,610.0
116,1770873214,738,611.0
117,1770873215,484,612.5
118,1770873216,741,607.0
119,1770873217,473,601.5
120,1770873218,730,603.5
121,1770873219,477,604.0
122,1770873220,731,606.0
123,1770873221,481,609.0
124,1770873222,737,608.0
125,1770873223,479,607.0
126,1770873224,735,611.5
127,1770873225,488,616.5
128,1770873226,745,617.5
129,1770873227,490,618.0
130,1770873228,746,611.5
131,1770873229,477,604.0
132,1770873230,731,601.5
133,1770873231,472,599.5
134,1770873232,727,603.5
135,1770873233,480,607.0
136,1770873234,734,608.0
137,1770873235,482,610.5
138,1770873236,739,611.5
139,1770873237,484,612.5
140,1770873238,741,611.0
141,1770873239,481,608.5
142,1770873240,736,606.0
143,1770873241,476,604.0
144,1770873242,732,603.0
145,1770873243,474,604.5
146,1770873244,735,610.0
147,1770873245,485,613.5
148,1770873246,742,616.0
149,1770873247,490,618.0
150,1770873248,746,614.0
151,1770873249,482,609.5
152,1770873250,737,609.0
153,1770873251,481,609.5
154,1770873252,738,608.0
155,1770873253,478,606.0
156,1770873254,734,606.5
157,1770873255,479,607.5
158,1770873256,736,610.5
159,1770873257,485,613.0
160,1770873258,741,604.0
161,1770873259,467,595.0
162,1770873260,723,599.0
163,1770873261,475,602.5
164,1770873262,730,610.0
165,1770873263,490,618.0
166,1770873264,746,613.5
167,1770873265,481,608.5
168,1770873266,736,608.5
169,1770873267,481,608.5
170,1770873268,736,606.0
171,1770873269,476,604.0
172,1770873270,732,607.0
173,1770873271,482,609.0
174,1770873272,736,607.5
175,1770873273,479,607.0
176,1770873274,735,610.0
177,1770873275,485,613.0
178,1770873276,741,608.5
179,1770873277,476,603.5
180,1770873278,731,604.0
181,1770873279,477,604.5
182,1770873280,732,609.5
183,1770873281,487,617.5
184,1770873282,748,619.0
185,1770873283,490,617.5
186,1770873284,745,614.0
187,1770873285,483,611.0
188,1770873286,739,613.0
189,1770873287,487,615.0
190,1770873288,743,610.0
191,1770873289,477,605.0
192,1770873290,733,604.5
193,1770873291,476,603.5
194,1770873292,731,608.0
195,1770873293,485,613.0
196,1770873294,741,611.5
197,1770873295,482,610.0
198,1770873296,738,607.5
199,1770873297,477,605.5
200,1770873298,734,608.0
201,1770873299,482,610.5
202,1770873300,739,608.0
203,1770873301,477,607.5
204,1770873302,738,610.0
205,1770873303,482,609.5
206,1770873304,737,613.0
207,1770873305,489,616.5
208,1770873306,744,614.0
209,1770873307,484,611.5
210,1770873308,739,609.0
211,1770873309,479,607.0
212,1770873310,735,610.0
213,1770873311,485,612.5
214,1770873312,740,608.5
215,1770873313,477,604.0
216,1770873314,731,602.5
217,1770873315,474,602.0
218,1770873316,730,605.5
219,1770873317,481,608.5
220,1770873318,736,610.5
221,1770873319,485,613.0
222,1770873320,741,611.5
223,1770873321,482,610.0
224,1770873322,738,612.0
225,1770873323,486,614.5
226,1770873324,743,611.5
227,1770873325,480,608.0
228,1770873326,736,604.0
229,1770873327,472,600.0
230,1770873328,728,605.5
231,1770873329,483,611.5
232,1770873330,740,613.0
233,1770873331,486,614.0
234,1770873332,742,610.5
235,1770873333,479,606.5
236,1770873334,734,609.0
237,1770873335,484,612.0
238,1770873336,740,610.5
239,1770873337,481,609.0
240,1770873338,737,604.0
241,1770873339,471,601.5
242,1770873340,732,607.5
243,1770873341,483,611.0
244,1770873342,739,614.0
245,1770873343,489,617.0
246,1770873344,745,612.0
247,1770873345,479,607.0
248,1770873346,735,609.5
249,1770873347,484,612.0
250,1770873348,740,610.0
251,1770873349,480,607.5
252,1770873350,735,605.5
253,1770873351,476,604.0
254,1770873352,732,606.5
255,1770873353,481,609.5
256,1770873354,738,611.5
257,1770873355,485,613.0
258,1770873356,741,609.5
259,1770873357,478,606.0
260,1770873358,734,609.5
261,1770873359,485,615.0
262,1770873360,745,613.0
263,1770873361,481,609.0
264,1770873362,737,610.5
265,1770873363,484,612.0
266,1770873364,740,611.5
267,1770873365,483,611.0
268,1770873366,739,612.0
269,1770873367,485,613.0
270,1770873368,741,614.0
271,1770873369,487,615.5
272,1770873370,744,616.0
273,1770873371,488,616.0
274,1770873372,744,609.0
275,1770873373,474,602.0
276,1770873374,730,605.0
277,1770873375,480,608.0
278,1770873376,736,610.5
279,1770873377,485,613.5
280,1770873378,742,613.5
281,1770873379,485,616.0
282,1770873380,747,618.0
283,1770873381,489,616.5
284,1770873382,744,614.0
285,1770873383,484,612.0
286,1770873384,740,609.5
287,1770873385,479,606.0
288,1770873386,733,605.5
289,1770873387,478,606.5
290,1770873388,735,608.0
291,1770873389,481,609.0
292,1770873390,737,608.0
293,1770873391,479,607.0
294,1770873392,735,609.5
295,1770873393,484,611.0
296,1770873394,738,611.0
297,1770873395,484,612.0
298,1770873396,740,607.5
299,1770873397,475,603.0
300,1770873398,731,608.0
301,1770873399,485,613.5
302,1770873400,742,613.0
303,1770873401,484,612.0
304,1770873402,740,612.0
305,1770873403,484,612.0
306,1770873404,740,611.5
307,1770873405,483,611.5
308,1770873406,740,613.5
309,1770873407,487,615.5
310,1770873408,744,611.5
311,1770873409,479,606.5
312,1770873410,734,604.5
313,1770873411,475,603.0
314,1770873412,731,603.5
315,1770873413,476,575.0
316,1770873414,674,422.0
317,1770873415,170,170.0
318,1770873416,170,85.0
319,1770873417,0,0.0
