Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-12 04:51:33,6,239
1,2026-02-12 04:51:43,8,238
2,2026-02-12 04:51:53,6,239
3,2026-02-12 04:52:03,6,239
4,2026-02-12 04:52:13,7,239
5,2026-02-12 04:52:24,8,239
6,2026-02-12 04:52:34,8,239
7,2026-02-12 04:52:44,6,240
8,2026-02-12 04:52:54,9,240
9,2026-02-12 04:53:04,9,240
10,2026-02-12 04:53:14,7,240
11,2026-02-12 04:53:24,7,241
12,2026-02-12 04:53:34,7,241
13,2026-02-12 04:53:44,9,252
14,2026-02-12 04:53:55,35,249
15,2026-02-12 04:54:05,35,249
16,2026-02-12 04:54:15,38,251
17,2026-02-12 04:54:25,38,253
18,2026-02-12 04:54:35,38,253
19,2026-02-12 04:54:45,38,254
20,2026-02-12 04:54:55,38,254
21,2026-02-12 04:55:05,40,255
22,2026-02-12 04:55:16,40,255
23,2026-02-12 04:55:26,39,255
24,2026-02-12 04:55:36,39,255
25,2026-02-12 04:55:46,39,255
26,2026-02-12 04:55:56,39,257
27,2026-02-12 04:56:06,37,258
28,2026-02-12 04:56:16,37,258
29,2026-02-12 04:56:26,37,258
30,2026-02-12 04:56:36,40,262
31,2026-02-12 04:56:47,40,262
32,2026-02-12 04:56:57,36,262
33,2026-02-12 04:57:07,41,264
34,2026-02-12 04:57:17,41,264
35,2026-02-12 04:57:27,39,265
36,2026-02-12 04:57:37,37,266
37,2026-02-12 04:57:47,37,266
38,2026-02-12 04:57:57,43,267
39,2026-02-12 04:58:07,41,268
40,2026-02-12 04:58:18,41,268
41,2026-02-12 04:58:28,38,268
42,2026-02-12 04:58:38,41,269
