time_index (s),timestamp,component,cpu,ram
0,2026-03-01 14:17:00,op-rbuilder,0.0276,143.0
15,2026-03-01 14:17:15,op-rbuilder,0.0276,129.0
30,2026-03-01 14:17:30,op-rbuilder,0.031,122.0
45,2026-03-01 14:17:45,op-rbuilder,0.0345,132.0
60,2026-03-01 14:18:00,op-rbuilder,0.0379,133.0
75,2026-03-01 14:18:15,op-rbuilder,0.0414,141.0
90,2026-03-01 14:18:30,op-rbuilder,0.0448,125.0
105,2026-03-01 14:18:45,op-rbuilder,0.0483,135.0
120,2026-03-01 14:19:00,op-rbuilder,0.0552,130.0
135,2026-03-01 14:19:15,op-rbuilder,0.0586,134.0
150,2026-03-01 14:19:30,op-rbuilder,0.0621,136.0
165,2026-03-01 14:19:45,op-rbuilder,0.0655,131.0
180,2026-03-01 14:20:00,op-rbuilder,0.069,137.0
195,2026-03-01 14:20:15,op-rbuilder,0.0724,136.0
210,2026-03-01 14:20:30,op-rbuilder,0.0793,128.0
225,2026-03-01 14:20:45,op-rbuilder,0.0793,132.0
240,2026-03-01 14:21:00,op-rbuilder,0.0862,139.0
255,2026-03-01 14:21:15,op-rbuilder,0.0897,144.0
270,2026-03-01 14:21:30,op-rbuilder,0.0931,136.0
285,2026-03-01 14:21:45,op-rbuilder,0.0966,131.0
300,2026-03-01 14:22:00,op-rbuilder,0.1,142.0
315,2026-03-01 14:22:15,op-rbuilder,0.1,145.0
330,2026-03-01 14:22:30,op-rbuilder,0.1,136.0
345,2026-03-01 14:22:45,op-rbuilder,0.1,144.0
360,2026-03-01 14:23:00,op-rbuilder,0.1,147.0
375,2026-03-01 14:23:15,op-rbuilder,0.1,138.0
390,2026-03-01 14:23:30,op-rbuilder,0.1,157.0
405,2026-03-01 14:23:45,op-rbuilder,0.1,148.0
420,2026-03-01 14:24:00,op-rbuilder,0.1,143.0
435,2026-03-01 14:24:15,op-rbuilder,0.1,145.0
450,2026-03-01 14:24:30,op-rbuilder,0.1,139.0
465,2026-03-01 14:24:45,op-rbuilder,0.1,146.0
480,2026-03-01 14:25:00,op-rbuilder,0.1,151.0
495,2026-03-01 14:25:15,op-rbuilder,0.1,151.0
510,2026-03-01 14:25:30,op-rbuilder,0.1,139.0
525,2026-03-01 14:25:45,op-rbuilder,0.1,150.0
540,2026-03-01 14:26:00,op-rbuilder,0.1,142.0
555,2026-03-01 14:26:15,op-rbuilder,0.1,144.0
570,2026-03-01 14:26:30,op-rbuilder,0.1,153.0
585,2026-03-01 14:26:45,op-rbuilder,0.1,143.0
600,2026-03-01 14:27:00,op-rbuilder,0.1,153.0
615,2026-03-01 14:27:15,op-rbuilder,0.1,153.0
