"timestamp","component","cpu","ram"
2026-03-06 15:02:15,op-geth-ext,0.0203,64.9
2026-03-06 15:02:15,op-geth,0.0573,68.1
2026-03-06 15:02:30,op-geth-ext,0.0193,69.0
2026-03-06 15:02:30,op-geth,0.0353,82.1
2026-03-06 15:02:45,op-geth-ext,0.0565,81.7
2026-03-06 15:02:45,op-geth,0.0397,88.4
2026-03-06 15:03:00,op-geth-ext,0.0801,81.6
2026-03-06 15:03:00,op-geth,0.0772,99.3
2026-03-06 15:03:15,op-geth-ext,0.133,80.5
2026-03-06 15:03:15,op-geth,0.0931,98.8
2026-03-06 15:03:30,op-geth-ext,0.156,103
2026-03-06 15:03:30,op-geth,0.133,97.7
2026-03-06 15:03:45,op-geth-ext,0.208,113
2026-03-06 15:03:45,op-geth,0.149,111
2026-03-06 15:04:00,op-geth-ext,0.232,89.3
2026-03-06 15:04:00,op-geth,0.188,102
2026-03-06 15:04:15,op-geth-ext,0.285,90.9
2026-03-06 15:04:15,op-geth,0.205,114
2026-03-06 15:04:30,op-geth-ext,0.308,109
2026-03-06 15:04:30,op-geth,0.245,118
2026-03-06 15:04:45,op-geth-ext,0.362,103
2026-03-06 15:04:45,op-geth,0.261,123
2026-03-06 15:05:00,op-geth-ext,0.386,110
2026-03-06 15:05:00,op-geth,0.301,170
2026-03-06 15:05:15,op-geth-ext,0.439,88.4
2026-03-06 15:05:15,op-geth,0.318,118
2026-03-06 15:05:30,op-geth-ext,0.463,108
2026-03-06 15:05:30,op-geth,0.358,146
2026-03-06 15:05:45,op-geth-ext,0.515,131
2026-03-06 15:05:45,op-geth,0.374,143
2026-03-06 15:06:00,op-geth-ext,0.538,132
2026-03-06 15:06:00,op-geth,0.414,142
2026-03-06 15:06:15,op-geth-ext,0.590,138
2026-03-06 15:06:15,op-geth,0.431,134
2026-03-06 15:06:30,op-geth-ext,0.613,135
2026-03-06 15:06:30,op-geth,0.469,129
2026-03-06 15:06:45,op-geth-ext,0.666,144
2026-03-06 15:06:45,op-geth,0.485,182
2026-03-06 15:07:00,op-geth-ext,0.689,137
2026-03-06 15:07:00,op-geth,0.525,151
2026-03-06 15:07:15,op-geth-ext,0.742,166
2026-03-06 15:07:15,op-geth,0.541,191
2026-03-06 15:07:30,op-geth-ext,0.758,139
2026-03-06 15:07:30,op-geth,0.565,166
2026-03-06 15:07:45,op-geth-ext,0.757,171
2026-03-06 15:07:45,op-geth,0.558,149
2026-03-06 15:08:00,op-geth-ext,0.760,142
2026-03-06 15:08:00,op-geth,0.565,186
2026-03-06 15:08:15,op-geth-ext,0.758,159
2026-03-06 15:08:15,op-geth,0.559,144
2026-03-06 15:08:30,op-geth-ext,0.760,134
2026-03-06 15:08:30,op-geth,0.564,171
2026-03-06 15:08:45,op-geth-ext,0.760,147
2026-03-06 15:08:45,op-geth,0.558,222
2026-03-06 15:09:00,op-geth-ext,0.760,186
2026-03-06 15:09:00,op-geth,0.564,202
2026-03-06 15:09:15,op-geth-ext,0.760,185
2026-03-06 15:09:15,op-geth,0.558,233
2026-03-06 15:09:30,op-geth-ext,0.760,138
2026-03-06 15:09:30,op-geth,0.564,226
2026-03-06 15:09:45,op-geth-ext,0.758,213
2026-03-06 15:09:45,op-geth,0.557,250
2026-03-06 15:10:00,op-geth-ext,0.760,161
2026-03-06 15:10:00,op-geth,0.561,197
2026-03-06 15:10:15,op-geth-ext,0.758,215
2026-03-06 15:10:15,op-geth,0.554,233
2026-03-06 15:10:30,op-geth-ext,0.761,164
2026-03-06 15:10:30,op-geth,0.561,187
2026-03-06 15:10:45,op-geth-ext,0.760,225
2026-03-06 15:10:45,op-geth,0.554,198
2026-03-06 15:11:00,op-geth-ext,0.761,151
2026-03-06 15:11:00,op-geth,0.559,241
2026-03-06 15:11:15,op-geth-ext,0.762,196
2026-03-06 15:11:15,op-geth,0.555,182
2026-03-06 15:11:30,op-geth-ext,0.762,213
2026-03-06 15:11:30,op-geth,0.560,221
2026-03-06 15:11:45,op-geth-ext,0.762,175
2026-03-06 15:11:45,op-geth,0.554,229
2026-03-06 15:12:00,op-geth-ext,0.763,194
2026-03-06 15:12:00,op-geth,0.559,237
2026-03-06 15:12:15,op-geth-ext,0.762,143
2026-03-06 15:12:15,op-geth,0.552,265
2026-03-06 15:12:30,op-geth-ext,0.764,160
2026-03-06 15:12:30,op-geth,0.559,183
2026-03-06 15:12:45,op-geth-ext,0.763,199
2026-03-06 15:12:45,op-geth,0.553,206
2026-03-06 15:13:00,op-geth-ext,0.764,211
2026-03-06 15:13:00,op-geth,0.559,234
2026-03-06 15:13:15,op-geth-ext,0.763,166
2026-03-06 15:13:15,op-geth,0.552,246
