index_s,timestamp,component,cpu,ram
0,2026-02-28 15:32:30,op-geth-ext,0.0213,102.0
15,2026-02-28 15:32:30,op-geth,0.0198,97.2
30,2026-02-28 15:32:45,op-geth-ext,0.0419,138.0
45,2026-02-28 15:32:45,op-geth,0.0291,129.0
60,2026-02-28 15:33:00,op-geth-ext,0.0732,117.0
75,2026-02-28 15:33:00,op-geth,0.0578,117.0
90,2026-02-28 15:33:15,op-geth-ext,0.12,95.4
105,2026-02-28 15:33:15,op-geth,0.0714,139.0
120,2026-02-28 15:33:30,op-geth-ext,0.151,117.0
135,2026-02-28 15:33:30,op-geth,0.101,144.0
150,2026-02-28 15:33:45,op-geth-ext,0.196,160.0
165,2026-02-28 15:33:45,op-geth,0.115,143.0
180,2026-02-28 15:34:00,op-geth-ext,0.229,115.0
195,2026-02-28 15:34:00,op-geth,0.144,171.0
210,2026-02-28 15:34:15,op-geth-ext,0.275,116.0
225,2026-02-28 15:34:15,op-geth,0.158,166.0
240,2026-02-28 15:34:30,op-geth-ext,0.306,120.0
255,2026-02-28 15:34:30,op-geth,0.187,189.0
270,2026-02-28 15:34:45,op-geth-ext,0.351,125.0
285,2026-02-28 15:34:45,op-geth,0.201,167.0
300,2026-02-28 15:35:00,op-geth-ext,0.381,127.0
315,2026-02-28 15:35:00,op-geth,0.23,162.0
330,2026-02-28 15:35:15,op-geth-ext,0.428,119.0
345,2026-02-28 15:35:15,op-geth,0.243,164.0
360,2026-02-28 15:35:30,op-geth-ext,0.458,119.0
375,2026-02-28 15:35:30,op-geth,0.273,163.0
390,2026-02-28 15:35:45,op-geth-ext,0.504,187.0
405,2026-02-28 15:35:45,op-geth,0.287,222.0
420,2026-02-28 15:36:00,op-geth-ext,0.536,177.0
435,2026-02-28 15:36:00,op-geth,0.316,193.0
450,2026-02-28 15:36:15,op-geth-ext,0.582,172.0
465,2026-02-28 15:36:15,op-geth,0.33,160.0
480,2026-02-28 15:36:30,op-geth-ext,0.614,168.0
495,2026-02-28 15:36:30,op-geth,0.361,214.0
510,2026-02-28 15:36:45,op-geth-ext,0.66,214.0
525,2026-02-28 15:36:45,op-geth,0.375,187.0
540,2026-02-28 15:37:00,op-geth-ext,0.692,188.0
555,2026-02-28 15:37:00,op-geth,0.403,246.0
570,2026-02-28 15:37:15,op-geth-ext,0.738,219.0
585,2026-02-28 15:37:15,op-geth,0.417,224.0
600,2026-02-28 15:37:30,op-geth-ext,0.77,190.0
615,2026-02-28 15:37:30,op-geth,0.439,169.0
630,2026-02-28 15:37:45,op-geth-ext,0.764,224.0
645,2026-02-28 15:37:45,op-geth,0.44,211.0
660,2026-02-28 15:38:00,op-geth-ext,0.773,183.0
675,2026-02-28 15:38:00,op-geth,0.441,244.0
690,2026-02-28 15:38:15,op-geth-ext,0.764,206.0
705,2026-02-28 15:38:15,op-geth,0.442,205.0
720,2026-02-28 15:38:30,op-geth-ext,0.772,157.0
735,2026-02-28 15:38:30,op-geth,0.442,234.0
750,2026-02-28 15:38:45,op-geth-ext,0.763,182.0
765,2026-02-28 15:38:45,op-geth,0.443,268.0
780,2026-02-28 15:39:00,op-geth-ext,0.772,224.0
795,2026-02-28 15:39:00,op-geth,0.442,276.0
810,2026-02-28 15:39:15,op-geth-ext,0.762,152.0
825,2026-02-28 15:39:15,op-geth,0.443,207.0
840,2026-02-28 15:39:30,op-geth-ext,0.764,168.0
855,2026-02-28 15:39:30,op-geth,0.444,218.0
870,2026-02-28 15:39:45,op-geth-ext,0.765,206.0
885,2026-02-28 15:39:45,op-geth,0.445,245.0
900,2026-02-28 15:40:00,op-geth-ext,0.767,214.0
915,2026-02-28 15:40:00,op-geth,0.445,271.0
930,2026-02-28 15:40:15,op-geth-ext,0.767,180.0
945,2026-02-28 15:40:15,op-geth,0.446,298.0
960,2026-02-28 15:40:30,op-geth-ext,0.767,214.0
975,2026-02-28 15:40:30,op-geth,0.447,281.0
990,2026-02-28 15:40:45,op-geth-ext,0.767,184.0
1005,2026-02-28 15:40:45,op-geth,0.448,303.0
1020,2026-02-28 15:41:00,op-geth-ext,0.768,180.0
1035,2026-02-28 15:41:00,op-geth,0.447,254.0
1050,2026-02-28 15:41:15,op-geth-ext,0.771,222.0
1065,2026-02-28 15:41:15,op-geth,0.449,274.0
1080,2026-02-28 15:41:30,op-geth-ext,0.785,243.0
1095,2026-02-28 15:41:30,op-geth,0.446,228.0
1110,2026-02-28 15:41:45,op-geth-ext,0.786,268.0
1125,2026-02-28 15:41:45,op-geth,0.447,252.0
1140,2026-02-28 15:42:00,op-geth-ext,0.787,261.0
1155,2026-02-28 15:42:00,op-geth,0.446,319.0
1170,2026-02-28 15:42:15,op-geth-ext,0.785,273.0
1185,2026-02-28 15:42:15,op-geth,0.447,221.0
1200,2026-02-28 15:42:30,op-geth-ext,0.786,273.0
1215,2026-02-28 15:42:30,op-geth,0.446,305.0
1230,2026-02-28 15:42:45,op-geth-ext,0.784,280.0
1245,2026-02-28 15:42:45,op-geth,0.448,251.0
1260,2026-02-28 15:43:00,op-geth-ext,0.786,269.0
1275,2026-02-28 15:43:00,op-geth,0.446,231.0
1290,2026-02-28 15:43:15,op-geth-ext,0.784,277.0
1305,2026-02-28 15:43:15,op-geth,0.447,288.0
