time_index (s),timestamp,component,cpu,ram
0,2026-03-06 14:47:00,op-geth-ext,0.0178,74.9
15,2026-03-06 14:47:15,op-geth-ext,0.0197,57.6
30,2026-03-06 14:47:30,op-geth-ext,0.0243,77.7
45,2026-03-06 14:47:45,op-geth-ext,0.0345,62.4
60,2026-03-06 14:48:00,op-geth-ext,0.0391,82.6
75,2026-03-06 14:48:15,op-geth-ext,0.049,62.7
90,2026-03-06 14:48:30,op-geth-ext,0.0536,82.8
105,2026-03-06 14:48:45,op-geth-ext,0.0637,63.5
120,2026-03-06 14:49:00,op-geth-ext,0.0684,83.7
135,2026-03-06 14:49:15,op-geth-ext,0.0785,64.1
150,2026-03-06 14:49:30,op-geth-ext,0.0829,84.5
165,2026-03-06 14:49:45,op-geth-ext,0.0926,62.2
180,2026-03-06 14:50:00,op-geth-ext,0.0973,82.2
195,2026-03-06 14:50:15,op-geth-ext,0.107,57.7
210,2026-03-06 14:50:30,op-geth-ext,0.112,77.2
225,2026-03-06 14:50:45,op-geth-ext,0.122,87.5
240,2026-03-06 14:51:00,op-geth-ext,0.126,73.8
255,2026-03-06 14:51:15,op-geth-ext,0.136,83.2
270,2026-03-06 14:51:30,op-geth-ext,0.141,70.0
285,2026-03-06 14:51:45,op-geth-ext,0.151,79.0
300,2026-03-06 14:52:00,op-geth-ext,0.155,66.5
315,2026-03-06 14:52:15,op-geth-ext,0.159,72.8
330,2026-03-06 14:52:30,op-geth-ext,0.159,92.9
345,2026-03-06 14:52:45,op-geth-ext,0.159,66.3
360,2026-03-06 14:53:00,op-geth-ext,0.159,86.5
375,2026-03-06 14:53:15,op-geth-ext,0.159,95.4
390,2026-03-06 14:53:30,op-geth-ext,0.159,78.4
405,2026-03-06 14:53:45,op-geth-ext,0.158,86.4
420,2026-03-06 14:54:00,op-geth-ext,0.159,73.4
435,2026-03-06 14:54:15,op-geth-ext,0.159,80.2
450,2026-03-06 14:54:30,op-geth-ext,0.159,64.6
465,2026-03-06 14:54:45,op-geth-ext,0.159,71.0
480,2026-03-06 14:55:00,op-geth-ext,0.159,91.2
495,2026-03-06 14:55:15,op-geth-ext,0.159,95.3
510,2026-03-06 14:55:30,op-geth-ext,0.16,77.2
525,2026-03-06 14:55:45,op-geth-ext,0.159,82.9
540,2026-03-06 14:56:00,op-geth-ext,0.16,66.4
555,2026-03-06 14:56:15,op-geth-ext,0.16,67.4
570,2026-03-06 14:56:30,op-geth-ext,0.16,87.2
585,2026-03-06 14:56:45,op-geth-ext,0.16,92.7
600,2026-03-06 14:57:00,op-geth-ext,0.161,75.6
615,2026-03-06 14:57:15,op-geth-ext,0.16,79.2
