time_index (s),timestamp,component,cpu,ram
0,2026-03-06 14:47:00,op-geth,0.0196,59.0
15,2026-03-06 14:47:15,op-geth,0.0195,63.1
30,2026-03-06 14:47:30,op-geth,0.028,57.0
45,2026-03-06 14:47:45,op-geth,0.0311,77.8
60,2026-03-06 14:48:00,op-geth,0.0403,79.8
75,2026-03-06 14:48:15,op-geth,0.0439,72.2
90,2026-03-06 14:48:30,op-geth,0.0531,67.1
105,2026-03-06 14:48:45,op-geth,0.0563,88.2
120,2026-03-06 14:49:00,op-geth,0.0654,83.4
135,2026-03-06 14:49:15,op-geth,0.069,72.2
150,2026-03-06 14:49:30,op-geth,0.0782,64.2
165,2026-03-06 14:49:45,op-geth,0.0813,85.2
180,2026-03-06 14:50:00,op-geth,0.0905,78.2
195,2026-03-06 14:50:15,op-geth,0.0941,65.3
210,2026-03-06 14:50:30,op-geth,0.102,90.4
225,2026-03-06 14:50:45,op-geth,0.105,80.0
240,2026-03-06 14:51:00,op-geth,0.114,73.9
255,2026-03-06 14:51:15,op-geth,0.117,62.0
270,2026-03-06 14:51:30,op-geth,0.126,85.3
285,2026-03-06 14:51:45,op-geth,0.129,71.2
300,2026-03-06 14:52:00,op-geth,0.138,93.6
315,2026-03-06 14:52:15,op-geth,0.137,79.4
330,2026-03-06 14:52:30,op-geth,0.139,65.1
345,2026-03-06 14:52:45,op-geth,0.137,85.7
360,2026-03-06 14:53:00,op-geth,0.139,70.1
375,2026-03-06 14:53:15,op-geth,0.137,92.3
390,2026-03-06 14:53:30,op-geth,0.139,74.4
405,2026-03-06 14:53:45,op-geth,0.137,95.6
420,2026-03-06 14:54:00,op-geth,0.139,78.5
435,2026-03-06 14:54:15,op-geth,0.137,101.0
450,2026-03-06 14:54:30,op-geth,0.139,80.4
465,2026-03-06 14:54:45,op-geth,0.137,102.0
480,2026-03-06 14:55:00,op-geth,0.138,82.4
495,2026-03-06 14:55:15,op-geth,0.137,105.0
510,2026-03-06 14:55:30,op-geth,0.139,83.6
525,2026-03-06 14:55:45,op-geth,0.137,105.0
540,2026-03-06 14:56:00,op-geth,0.139,88.5
555,2026-03-06 14:56:15,op-geth,0.138,74.7
570,2026-03-06 14:56:30,op-geth,0.139,91.1
585,2026-03-06 14:56:45,op-geth,0.138,73.4
600,2026-03-06 14:57:00,op-geth,0.139,90.1
615,2026-03-06 14:57:15,op-geth,0.138,75.5
