Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-7ddcb69467-jprj9,2026-02-12 04:24:53,9,28
1,op-batcher-7ddcb69467-jprj9,2026-02-12 04:25:03,9,28
2,op-batcher-7ddcb69467-jprj9,2026-02-12 04:25:14,5,27
3,op-batcher-7ddcb69467-jprj9,2026-02-12 04:25:24,3,27
4,op-batcher-7ddcb69467-jprj9,2026-02-12 04:25:34,3,27
5,op-batcher-7ddcb69467-jprj9,2026-02-12 04:25:44,3,27
6,op-batcher-7ddcb69467-jprj9,2026-02-12 04:25:54,3,23
7,op-batcher-7ddcb69467-jprj9,2026-02-12 04:26:04,3,23
8,op-batcher-7ddcb69467-jprj9,2026-02-12 04:26:14,3,24
9,op-batcher-7ddcb69467-jprj9,2026-02-12 04:26:24,3,21
10,op-batcher-7ddcb69467-jprj9,2026-02-12 04:26:35,3,21
11,op-batcher-7ddcb69467-jprj9,2026-02-12 04:26:45,3,21
12,op-batcher-7ddcb69467-jprj9,2026-02-12 04:26:55,3,20
13,op-batcher-7ddcb69467-jprj9,2026-02-12 04:27:05,3,20
14,op-batcher-7ddcb69467-jprj9,2026-02-12 04:27:15,3,21
15,op-batcher-7ddcb69467-jprj9,2026-02-12 04:27:25,3,21
16,op-batcher-7ddcb69467-jprj9,2026-02-12 04:27:35,3,21
17,op-batcher-7ddcb69467-jprj9,2026-02-12 04:27:45,3,21
18,op-batcher-7ddcb69467-jprj9,2026-02-12 04:27:55,3,20
19,op-batcher-7ddcb69467-jprj9,2026-02-12 04:28:06,3,20
20,op-batcher-7ddcb69467-jprj9,2026-02-12 04:28:16,3,20
21,op-batcher-7ddcb69467-jprj9,2026-02-12 04:28:26,3,20
22,op-batcher-7ddcb69467-jprj9,2026-02-12 04:28:36,3,21
23,op-batcher-7ddcb69467-jprj9,2026-02-12 04:28:46,3,21
24,op-batcher-7ddcb69467-jprj9,2026-02-12 04:28:56,3,20
25,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:06,2,20
26,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:16,2,20
27,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:26,3,21
28,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:37,3,21
29,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:47,3,21
30,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:57,3,22
31,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:07,23,29
32,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:17,23,29
33,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:27,20,37
34,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:37,22,43
35,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:48,22,43
36,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:58,18,51
37,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:08,22,52
38,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:18,22,52
39,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:28,23,56
40,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:38,20,60
41,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:48,20,60
42,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:58,22,53
43,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:09,22,57
44,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:19,22,57
45,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:29,25,61
46,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:39,20,68
47,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:49,20,68
48,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:59,24,70
49,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:09,20,70
50,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:19,20,70
51,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:30,22,76
52,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:40,23,81
53,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:50,23,81
54,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:00,25,88
55,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:10,18,88
56,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:20,21,97
57,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:30,21,97
58,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:40,23,97
59,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:51,24,97
60,op-batcher-7ddcb69467-jprj9,2026-02-12 04:35:01,24,97
61,op-batcher-7ddcb69467-jprj9,2026-02-12 04:35:11,18,97
62,op-batcher-7ddcb69467-jprj9,2026-02-12 04:35:21,6,97
