Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:24:53,145,110
1,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:25:03,145,110
2,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:25:14,127,112
3,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:25:24,27,113
4,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:25:34,27,113
5,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:25:44,17,116
6,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:25:54,27,114
7,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:26:04,27,114
8,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:26:14,23,113
9,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:26:24,23,113
10,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:26:35,23,113
11,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:26:45,16,114
12,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:26:55,18,111
13,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:27:05,18,111
14,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:27:15,17,114
15,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:27:25,21,115
16,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:27:35,18,113
17,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:27:45,18,113
18,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:27:55,18,113
19,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:28:06,21,114
20,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:28:16,21,114
21,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:28:26,19,114
22,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:28:36,20,116
23,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:28:46,20,116
24,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:28:56,16,117
25,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:29:06,29,116
26,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:29:16,29,116
27,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:29:26,20,117
28,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:29:37,20,113
29,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:29:47,20,113
30,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:29:57,98,120
31,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:30:07,322,125
32,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:30:17,322,125
33,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:30:27,334,125
34,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:30:37,330,130
35,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:30:48,330,130
36,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:30:58,331,133
37,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:31:08,324,136
38,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:31:18,324,136
39,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:31:28,343,138
40,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:31:38,338,142
41,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:31:48,338,142
42,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:31:58,338,144
43,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:32:09,321,149
44,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:32:19,321,149
45,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:32:29,321,149
46,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:32:39,321,155
47,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:32:49,321,155
48,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:32:59,321,155
49,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:33:09,312,162
50,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:33:19,312,162
51,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:33:30,311,164
52,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:33:40,307,167
53,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:33:50,307,167
54,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:34:00,324,172
55,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:34:10,328,176
56,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:34:20,329,179
57,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:34:30,329,179
58,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:34:40,329,179
59,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:34:51,324,182
60,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:35:01,324,182
61,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:35:11,293,194
62,op-rbuilder-d7bd8784c-4vphh,2026-02-12 04:35:21,437,240
