Row_Index,Block_Number,Total_Gas_Used
0,834,5354560
1,835,14018660
2,836,14260820
3,837,13749592
4,838,13695776
5,839,13695764
6,840,14018636
7,841,13561200
8,842,13911004
9,843,13749592
10,844,13857212
11,845,13641972
12,846,13722672
13,847,13803408
14,848,13668868
15,849,13749568
16,850,13830280
17,851,13615016
18,852,14072464
19,853,13722684
20,854,13695776
21,855,13561248
22,856,13830304
23,857,13588156
24,858,13803384
25,859,13857188
26,860,13534292
27,861,13857200
28,862,13991752
29,863,13507432
30,864,13991752
31,865,13668868
32,866,13722684
33,867,13561236
34,868,13911004
35,869,13534292
36,870,13964820
37,871,13776500
38,872,13668868
39,873,13615052
40,874,13857224
41,875,13695776
42,876,13857212
43,877,13615028
44,878,13668832
45,879,13749556
46,880,13884120
47,881,13534340
48,882,13911028
49,883,13615064
50,884,13695776
51,885,13615052
52,886,13911004
53,887,13534292
54,888,13964820
55,889,13803396
56,890,13722684
57,891,13534340
58,892,13830304
59,893,13722684
60,894,13857224
61,895,13776476
62,896,13615016
63,897,13695740
64,898,13991740
65,899,13668868
66,900,13857224
67,901,13776488
68,902,13561248
69,903,13749592
70,904,13749580
71,905,13722648
72,906,13884096
73,907,13857188
74,908,13668868
75,909,13722684
76,910,13722684
77,911,13695776
78,912,13911028
79,913,13803408
80,914,13561212
81,915,13615016
82,916,13937912
83,917,13722672
84,918,13911040
85,919,13722684
86,920,13668868
87,921,13534328
88,922,13857224
89,923,13668844
90,924,13991728
91,925,13857188
92,926,13830280
93,927,13561248
94,928,13884120
95,929,13857224
96,930,13668868
97,931,13911028
98,932,13695776
99,933,13749568
100,934,13668832
101,935,13749556
102,936,14072464
103,937,13668868
104,938,13668880
105,939,13749580
106,940,13991752
107,941,13588156
108,942,13857212
109,943,13830280
110,944,13641924
111,945,13857188
112,946,13857212
113,947,13641972
114,948,14018660
115,949,13615052
116,950,13749592
117,951,13641960
118,952,13803384
119,953,13668832
120,954,13884096
121,955,13964832
122,956,13480524
123,957,13641960
124,958,13830304
125,959,13534340
126,960,14018660
127,961,13641948
128,962,13749556
129,963,13561200
130,964,13749580
131,965,13884120
132,966,13803408
133,967,13641960
134,968,13857212
135,969,13561248
136,970,13937936
137,971,13588108
138,972,13857188
139,973,13857188
140,974,13615052
141,975,13722684
142,976,13803408
143,977,13507432
144,978,13776488
145,979,13722684
146,980,13803372
147,981,13480476
148,982,13964820
149,983,13615064
150,984,14126280
151,985,13615064
152,986,13426708
153,987,13830304
154,988,13561236
155,989,13722648
156,990,14099360
157,991,13695740
158,992,13830304
159,993,618860
