time_index (s),timestamp,component,cpu,ram
0,2026-03-01 15:14:30,op-geth,0.0233,53.4
15,2026-03-01 15:14:45,op-geth,0.0236,44.4
30,2026-03-01 15:15:00,op-geth,0.0304,56.6
45,2026-03-01 15:15:15,op-geth,0.0396,58.7
60,2026-03-01 15:15:30,op-geth,0.0462,67.1
75,2026-03-01 15:15:45,op-geth,0.0556,66.8
90,2026-03-01 15:16:00,op-geth,0.0624,49.5
105,2026-03-01 15:16:15,op-geth,0.0709,71.2
120,2026-03-01 15:16:30,op-geth,0.0766,50.6
135,2026-03-01 15:16:45,op-geth,0.0856,72.7
150,2026-03-01 15:17:00,op-geth,0.0922,50.6
165,2026-03-01 15:17:15,op-geth,0.101,71.2
180,2026-03-01 15:17:30,op-geth,0.107,76.6
195,2026-03-01 15:17:45,op-geth,0.117,70.3
210,2026-03-01 15:18:00,op-geth,0.123,75.1
225,2026-03-01 15:18:15,op-geth,0.132,68.4
240,2026-03-01 15:18:30,op-geth,0.139,74.1
255,2026-03-01 15:18:45,op-geth,0.148,68.5
270,2026-03-01 15:19:00,op-geth,0.155,73.0
285,2026-03-01 15:19:15,op-geth,0.164,63.6
300,2026-03-01 15:19:30,op-geth,0.17,68.4
315,2026-03-01 15:19:45,op-geth,0.173,60.8
330,2026-03-01 15:20:00,op-geth,0.174,65.1
345,2026-03-01 15:20:15,op-geth,0.173,57.3
360,2026-03-01 15:20:30,op-geth,0.174,58.6
375,2026-03-01 15:20:45,op-geth,0.172,74.9
390,2026-03-01 15:21:00,op-geth,0.174,75.2
405,2026-03-01 15:21:15,op-geth,0.172,60.2
420,2026-03-01 15:21:30,op-geth,0.174,59.8
435,2026-03-01 15:21:45,op-geth,0.172,74.3
450,2026-03-01 15:22:00,op-geth,0.174,74.8
465,2026-03-01 15:22:15,op-geth,0.171,90.4
480,2026-03-01 15:22:30,op-geth,0.173,90.5
495,2026-03-01 15:22:45,op-geth,0.171,72.7
510,2026-03-01 15:23:00,op-geth,0.173,73.6
525,2026-03-01 15:23:15,op-geth,0.171,89.7
540,2026-03-01 15:23:30,op-geth,0.173,89.4
555,2026-03-01 15:23:45,op-geth,0.171,68.6
570,2026-03-01 15:24:00,op-geth,0.172,68.6
585,2026-03-01 15:24:15,op-geth,0.17,83.7
600,2026-03-01 15:24:30,op-geth,0.172,84.9
615,2026-03-01 15:24:45,op-geth,0.17,65.9
