time_index (s),timestamp,component,cpu,ram
0,2026-03-01 15:14:30,op-rbuilder,0.0345,156.0
15,2026-03-01 15:14:45,op-rbuilder,0.0345,151.0
30,2026-03-01 15:15:00,op-rbuilder,0.0414,152.0
45,2026-03-01 15:15:15,op-rbuilder,0.0483,139.0
60,2026-03-01 15:15:30,op-rbuilder,0.0517,137.0
75,2026-03-01 15:15:45,op-rbuilder,0.0586,144.0
90,2026-03-01 15:16:00,op-rbuilder,0.0655,131.0
105,2026-03-01 15:16:15,op-rbuilder,0.069,140.0
120,2026-03-01 15:16:30,op-rbuilder,0.0759,145.0
135,2026-03-01 15:16:45,op-rbuilder,0.0828,143.0
150,2026-03-01 15:17:00,op-rbuilder,0.0897,144.0
165,2026-03-01 15:17:15,op-rbuilder,0.0931,153.0
180,2026-03-01 15:17:30,op-rbuilder,0.1,137.0
195,2026-03-01 15:17:45,op-rbuilder,0.103,140.0
210,2026-03-01 15:18:00,op-rbuilder,0.11,136.0
225,2026-03-01 15:18:15,op-rbuilder,0.114,137.0
240,2026-03-01 15:18:30,op-rbuilder,0.124,145.0
255,2026-03-01 15:18:45,op-rbuilder,0.124,144.0
270,2026-03-01 15:19:00,op-rbuilder,0.134,154.0
285,2026-03-01 15:19:15,op-rbuilder,0.138,144.0
300,2026-03-01 15:19:30,op-rbuilder,0.148,135.0
315,2026-03-01 15:19:45,op-rbuilder,0.145,146.0
330,2026-03-01 15:20:00,op-rbuilder,0.145,135.0
345,2026-03-01 15:20:15,op-rbuilder,0.145,145.0
360,2026-03-01 15:20:30,op-rbuilder,0.145,156.0
375,2026-03-01 15:20:45,op-rbuilder,0.148,152.0
390,2026-03-01 15:21:00,op-rbuilder,0.148,150.0
405,2026-03-01 15:21:15,op-rbuilder,0.145,146.0
420,2026-03-01 15:21:30,op-rbuilder,0.145,146.0
435,2026-03-01 15:21:45,op-rbuilder,0.145,142.0
450,2026-03-01 15:22:00,op-rbuilder,0.145,148.0
465,2026-03-01 15:22:15,op-rbuilder,0.145,160.0
480,2026-03-01 15:22:30,op-rbuilder,0.148,151.0
495,2026-03-01 15:22:45,op-rbuilder,0.145,153.0
510,2026-03-01 15:23:00,op-rbuilder,0.145,145.0
525,2026-03-01 15:23:15,op-rbuilder,0.148,154.0
540,2026-03-01 15:23:30,op-rbuilder,0.145,145.0
555,2026-03-01 15:23:45,op-rbuilder,0.145,146.0
570,2026-03-01 15:24:00,op-rbuilder,0.145,145.0
585,2026-03-01 15:24:15,op-rbuilder,0.145,153.0
600,2026-03-01 15:24:30,op-rbuilder,0.145,148.0
615,2026-03-01 15:24:45,op-rbuilder,0.145,153.0
