Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1770869482,24,39.0
1,1770869483,54,68.5
2,1770869484,83,71.0
3,1770869485,59,74.0
4,1770869486,89,73.5
5,1770869487,58,73.0
6,1770869488,88,73.0
7,1770869489,58,73.0
8,1770869490,88,73.5
9,1770869491,59,73.5
10,1770869492,88,73.0
11,1770869493,58,73.0
12,1770869494,88,73.0
13,1770869495,58,73.0
14,1770869496,88,73.0
15,1770869497,58,73.0
16,1770869498,88,73.5
17,1770869499,59,73.5
18,1770869500,88,73.5
19,1770869501,59,74.0
20,1770869502,89,73.5
21,1770869503,58,73.0
22,1770869504,88,73.0
23,1770869505,58,73.0
24,1770869506,88,73.0
25,1770869507,58,73.0
26,1770869508,88,73.5
27,1770869509,59,73.5
28,1770869510,88,73.0
29,1770869511,58,73.0
30,1770869512,88,73.5
31,1770869513,59,73.5
32,1770869514,88,73.5
33,1770869515,59,73.5
34,1770869516,88,73.5
35,1770869517,59,74.0
36,1770869518,89,73.5
37,1770869519,58,73.0
38,1770869520,88,73.5
39,1770869521,59,73.5
40,1770869522,88,73.5
41,1770869523,59,73.5
42,1770869524,88,73.0
43,1770869525,58,73.0
44,1770869526,88,73.0
45,1770869527,58,73.0
46,1770869528,88,73.5
47,1770869529,59,73.5
48,1770869530,88,73.5
49,1770869531,59,74.0
50,1770869532,89,73.5
51,1770869533,58,73.0
52,1770869534,88,73.0
53,1770869535,58,73.0
54,1770869536,88,73.5
55,1770869537,59,73.5
56,1770869538,88,73.5
57,1770869539,59,74.0
58,1770869540,89,73.5
59,1770869541,58,73.0
60,1770869542,88,73.5
61,1770869543,59,73.5
62,1770869544,88,73.5
63,1770869545,59,74.0
64,1770869546,89,73.5
65,1770869547,58,73.0
66,1770869548,88,73.5
67,1770869549,59,73.5
68,1770869550,88,73.5
69,1770869551,59,74.0
70,1770869552,89,73.5
71,1770869553,58,73.0
72,1770869554,88,73.5
73,1770869555,59,73.5
74,1770869556,88,73.5
75,1770869557,59,74.0
76,1770869558,89,73.5
77,1770869559,58,73.0
78,1770869560,88,73.5
79,1770869561,59,73.5
80,1770869562,88,73.5
81,1770869563,59,74.0
82,1770869564,89,73.5
83,1770869565,58,73.0
84,1770869566,88,73.5
85,1770869567,59,73.5
86,1770869568,88,73.5
87,1770869569,59,74.0
88,1770869570,89,73.5
89,1770869571,58,73.0
90,1770869572,88,73.5
91,1770869573,59,73.5
92,1770869574,88,73.5
93,1770869575,59,74.0
94,1770869576,89,73.5
95,1770869577,58,73.0
96,1770869578,88,73.5
97,1770869579,59,73.5
98,1770869580,88,73.0
99,1770869581,58,73.0
100,1770869582,88,73.0
101,1770869583,58,73.0
102,1770869584,88,73.5
103,1770869585,59,73.5
104,1770869586,88,73.5
105,1770869587,59,73.5
106,1770869588,88,73.5
107,1770869589,59,74.0
108,1770869590,89,74.0
109,1770869591,59,73.5
110,1770869592,88,73.5
111,1770869593,59,73.5
112,1770869594,88,73.0
113,1770869595,58,73.0
114,1770869596,88,73.0
115,1770869597,58,73.0
116,1770869598,88,73.5
117,1770869599,59,73.5
118,1770869600,88,73.0
119,1770869601,58,72.5
120,1770869602,87,72.5
121,1770869603,58,73.0
122,1770869604,88,73.0
123,1770869605,58,73.0
124,1770869606,88,73.5
125,1770869607,59,74.0
126,1770869608,89,74.0
127,1770869609,59,74.0
128,1770869610,89,73.5
129,1770869611,58,73.0
130,1770869612,88,73.5
131,1770869613,59,73.5
132,1770869614,88,73.5
133,1770869615,59,73.5
134,1770869616,88,73.0
135,1770869617,58,73.0
136,1770869618,88,73.5
137,1770869619,59,73.5
138,1770869620,88,73.5
139,1770869621,59,74.0
140,1770869622,89,74.0
141,1770869623,59,74.0
142,1770869624,89,74.0
143,1770869625,59,73.5
144,1770869626,88,73.5
145,1770869627,59,74.0
146,1770869628,89,73.5
147,1770869629,58,73.0
148,1770869630,88,73.5
