Row_Index,Block_Number,Total_Gas_Used
0,102308,3375300
1,102309,5755600
2,102310,5852976
3,102311,5755600
4,102312,5852976
5,102313,5755600
6,102314,5852976
7,102315,5755600
8,102316,5386756
9,102317,3022806
10,102318,3074040
11,102319,3022806
12,102320,3074040
13,102321,3022806
14,102322,3022806
15,102323,3074040
16,102324,3022806
17,102325,3074040
18,102326,3022806
19,102327,3022806
20,102328,3074040
21,102329,3022806
22,102330,3074040
23,102331,3022806
24,102332,3074040
25,102333,3998042
26,102334,5770291
27,102335,5867916
28,102336,5867916
29,102337,5770291
30,102338,5770291
31,102339,5770291
32,102340,5867916
33,102341,5770291
34,102342,5867916
35,102343,5770291
36,102344,5867916
37,102345,5770291
38,102346,5770291
39,102347,5770291
40,102348,5867916
41,102349,5770291
42,102350,5867916
43,102351,5770291
44,102352,5770291
45,102353,5770291
46,102354,5867916
47,102355,5770291
48,102356,5867916
49,102357,5770291
50,102358,5911287
51,102359,5617174
52,102360,3074040
53,102361,3022806
54,102362,3074040
55,102363,3022806
56,102364,3074040
57,102365,3022806
58,102366,3022806
59,102367,3074040
60,102368,3074040
61,102369,3022806
62,102370,3074040
63,102371,3022806
64,102372,3074040
65,102373,3022806
66,102374,3074040
67,102375,3022806
68,102376,3074040
69,102377,3022806
70,102378,3074040
71,102379,3022806
72,102380,3074040
73,102381,3022806
74,102382,3074040
75,102383,3022806
76,102384,5516688
77,102385,5770291
78,102386,5867916
79,102387,5770291
80,102388,5867916
81,102389,5770291
82,102390,5867916
83,102391,5770291
84,102392,5867916
85,102393,5770291
86,102394,5867916
87,102395,5867916
88,102396,5770291
89,102397,5867916
90,102398,5770291
91,102399,5770291
92,102400,5867916
93,102401,5770291
94,102402,5867916
95,102403,5867916
96,102404,5770291
97,102405,5770291
98,102406,5867916
99,102407,5770291
100,102408,5867916
101,102409,5817013
102,102410,5871156
103,102411,5773477
104,102412,5871156
105,102413,5773477
106,102414,5871156
107,102415,5773477
108,102416,5871156
109,102417,5773477
110,102418,5871156
111,102419,5773477
112,102420,5871156
113,102421,5773477
114,102422,5871156
115,102423,5773477
116,102424,5871156
117,102425,5773477
118,102426,5871156
119,102427,5773477
120,102428,5871156
121,102429,5773477
122,102430,5871156
123,102431,5773477
124,102432,5773477
125,102433,5871156
126,102434,5775297
127,102435,5777607
128,102436,5875356
129,102437,5777607
130,102438,5875356
131,102439,5777607
132,102440,5875356
133,102441,5777607
134,102442,5875356
135,102443,5777607
136,102444,5875356
137,102445,5777607
138,102446,5777607
139,102447,5875356
140,102448,5777607
141,102449,5875356
142,102450,5875356
143,102451,5777607
144,102452,5875356
145,102453,5777607
146,102454,5777607
147,102455,5777607
148,102456,5875356
149,102457,5777607
150,102458,5875356
151,102459,4604619
