Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-11 16:22:16,122,503
1,2026-02-11 16:22:26,143,518
2,2026-02-11 16:22:36,143,518
3,2026-02-11 16:22:47,143,518
4,2026-02-11 16:22:57,12,517
5,2026-02-11 16:23:07,10,517
6,2026-02-11 16:23:17,10,517
7,2026-02-11 16:23:27,10,517
8,2026-02-11 16:23:37,11,524
9,2026-02-11 16:23:47,11,524
10,2026-02-11 16:23:57,7,524
11,2026-02-11 16:24:08,10,515
12,2026-02-11 16:24:18,10,515
13,2026-02-11 16:24:28,8,515
14,2026-02-11 16:24:38,7,515
15,2026-02-11 16:24:48,7,515
16,2026-02-11 16:24:58,8,516
17,2026-02-11 16:25:08,8,516
18,2026-02-11 16:25:18,8,516
19,2026-02-11 16:25:28,8,516
20,2026-02-11 16:25:39,7,516
21,2026-02-11 16:25:49,7,516
22,2026-02-11 16:25:59,8,516
23,2026-02-11 16:26:09,7,517
24,2026-02-11 16:26:19,7,517
25,2026-02-11 16:26:29,11,511
26,2026-02-11 16:26:39,7,511
27,2026-02-11 16:26:49,7,511
28,2026-02-11 16:26:59,7,511
29,2026-02-11 16:27:10,7,511
30,2026-02-11 16:27:20,7,511
31,2026-02-11 16:27:30,227,514
32,2026-02-11 16:27:40,267,521
33,2026-02-11 16:27:50,284,535
34,2026-02-11 16:28:00,284,535
35,2026-02-11 16:28:10,288,544
36,2026-02-11 16:28:20,282,560
37,2026-02-11 16:28:31,282,560
38,2026-02-11 16:28:41,281,583
39,2026-02-11 16:28:51,279,585
40,2026-02-11 16:29:01,279,585
41,2026-02-11 16:29:11,294,598
42,2026-02-11 16:29:21,284,603
43,2026-02-11 16:29:31,284,603
44,2026-02-11 16:29:41,280,604
45,2026-02-11 16:29:52,282,607
46,2026-02-11 16:30:02,282,607
47,2026-02-11 16:30:12,293,609
48,2026-02-11 16:30:22,279,617
49,2026-02-11 16:30:32,279,617
50,2026-02-11 16:30:42,285,633
51,2026-02-11 16:30:52,285,633
52,2026-02-11 16:31:02,285,633
53,2026-02-11 16:31:13,283,632
54,2026-02-11 16:31:23,398,575
55,2026-02-11 16:31:33,398,575
56,2026-02-11 16:31:43,274,591
57,2026-02-11 16:31:53,296,581
58,2026-02-11 16:32:03,296,581
59,2026-02-11 16:32:13,274,588
60,2026-02-11 16:32:23,289,634
61,2026-02-11 16:32:34,289,634
62,2026-02-11 16:32:44,432,670
63,2026-02-11 16:32:54,3152,633
64,2026-02-11 16:33:04,3152,633
65,2026-02-11 16:33:14,3457,602
66,2026-02-11 16:33:24,3470,638
67,2026-02-11 16:33:34,3470,638
68,2026-02-11 16:33:45,3423,650
69,2026-02-11 16:33:55,3419,613
70,2026-02-11 16:34:05,3419,613
71,2026-02-11 16:34:15,3457,657
72,2026-02-11 16:34:25,3466,689
73,2026-02-11 16:34:35,3510,724
74,2026-02-11 16:34:45,3510,724
75,2026-02-11 16:34:56,3499,720
76,2026-02-11 16:35:06,3489,762
77,2026-02-11 16:35:16,3489,762
78,2026-02-11 16:35:26,3519,738
79,2026-02-11 16:35:36,3517,792
80,2026-02-11 16:35:46,3517,792
81,2026-02-11 16:35:57,3515,819
82,2026-02-11 16:36:07,3538,746
83,2026-02-11 16:36:17,3538,746
84,2026-02-11 16:36:27,3523,772
85,2026-02-11 16:36:37,3483,769
86,2026-02-11 16:36:47,3483,769
87,2026-02-11 16:36:57,3498,752
88,2026-02-11 16:37:08,3498,758
89,2026-02-11 16:37:18,3498,758
90,2026-02-11 16:37:28,3463,762
91,2026-02-11 16:37:38,3495,758
92,2026-02-11 16:37:48,3495,758
93,2026-02-11 16:37:58,3495,758
94,2026-02-11 16:38:08,260,688
95,2026-02-11 16:38:19,260,688
96,2026-02-11 16:38:29,7,689
97,2026-02-11 16:38:39,7,690
98,2026-02-11 16:38:49,7,690
