Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:22:16,12,94
1,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:22:26,7,94
2,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:22:36,3,94
3,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:22:47,3,94
4,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:22:57,2,94
5,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:23:07,2,94
6,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:23:17,2,94
7,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:23:27,2,95
8,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:23:37,5,95
9,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:23:47,5,95
10,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:23:57,2,95
11,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:24:08,2,95
12,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:24:18,2,95
13,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:24:28,2,95
14,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:24:38,2,95
15,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:24:48,2,95
16,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:24:58,2,95
17,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:25:08,2,96
18,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:25:18,2,96
19,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:25:28,2,97
20,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:25:39,2,97
21,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:25:49,2,97
22,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:25:59,3,97
23,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:26:09,2,97
24,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:26:19,2,97
25,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:26:29,2,97
26,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:26:39,2,97
27,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:26:49,2,97
28,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:26:59,2,97
29,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:10,12,98
30,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:20,12,98
31,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:30,17,98
32,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:40,21,103
33,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:50,23,111
34,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:00,23,111
35,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:10,18,112
36,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:20,25,118
