Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-geth-75f4676cdc-ffl7k,2026-02-11 16:22:16,122,503
1,op-geth-75f4676cdc-ffl7k,2026-02-11 16:22:26,143,518
2,op-geth-75f4676cdc-ffl7k,2026-02-11 16:22:36,143,518
3,op-geth-75f4676cdc-ffl7k,2026-02-11 16:22:47,143,518
4,op-geth-75f4676cdc-ffl7k,2026-02-11 16:22:57,12,517
5,op-geth-75f4676cdc-ffl7k,2026-02-11 16:23:07,10,517
6,op-geth-75f4676cdc-ffl7k,2026-02-11 16:23:17,10,517
7,op-geth-75f4676cdc-ffl7k,2026-02-11 16:23:27,10,517
8,op-geth-75f4676cdc-ffl7k,2026-02-11 16:23:37,11,524
9,op-geth-75f4676cdc-ffl7k,2026-02-11 16:23:47,11,524
10,op-geth-75f4676cdc-ffl7k,2026-02-11 16:23:57,7,524
11,op-geth-75f4676cdc-ffl7k,2026-02-11 16:24:08,10,515
12,op-geth-75f4676cdc-ffl7k,2026-02-11 16:24:18,10,515
13,op-geth-75f4676cdc-ffl7k,2026-02-11 16:24:28,8,515
14,op-geth-75f4676cdc-ffl7k,2026-02-11 16:24:38,7,515
15,op-geth-75f4676cdc-ffl7k,2026-02-11 16:24:48,7,515
16,op-geth-75f4676cdc-ffl7k,2026-02-11 16:24:58,8,516
17,op-geth-75f4676cdc-ffl7k,2026-02-11 16:25:08,8,516
18,op-geth-75f4676cdc-ffl7k,2026-02-11 16:25:18,8,516
19,op-geth-75f4676cdc-ffl7k,2026-02-11 16:25:28,8,516
20,op-geth-75f4676cdc-ffl7k,2026-02-11 16:25:39,7,516
21,op-geth-75f4676cdc-ffl7k,2026-02-11 16:25:49,7,516
22,op-geth-75f4676cdc-ffl7k,2026-02-11 16:25:59,8,516
23,op-geth-75f4676cdc-ffl7k,2026-02-11 16:26:09,7,517
24,op-geth-75f4676cdc-ffl7k,2026-02-11 16:26:19,7,517
25,op-geth-75f4676cdc-ffl7k,2026-02-11 16:26:29,11,511
26,op-geth-75f4676cdc-ffl7k,2026-02-11 16:26:39,7,511
27,op-geth-75f4676cdc-ffl7k,2026-02-11 16:26:49,7,511
28,op-geth-75f4676cdc-ffl7k,2026-02-11 16:26:59,7,511
29,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:10,7,511
30,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:20,7,511
31,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:30,227,514
32,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:40,267,521
33,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:50,284,535
34,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:00,284,535
35,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:10,288,544
36,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:20,282,560
37,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:31,282,560
38,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:41,281,583
39,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:51,279,585
40,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:01,279,585
41,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:11,294,598
42,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:21,284,603
43,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:31,284,603
44,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:41,280,604
45,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:52,282,607
46,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:02,282,607
47,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:12,293,609
48,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:22,279,617
49,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:32,279,617
50,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:42,285,633
51,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:52,285,633
52,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:02,285,633
53,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:13,283,632
54,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:23,398,575
55,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:33,398,575
56,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:43,274,591
57,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:53,296,581
58,op-geth-75f4676cdc-ffl7k,2026-02-11 16:32:03,296,581
59,op-geth-75f4676cdc-ffl7k,2026-02-11 16:32:13,274,588
60,op-geth-75f4676cdc-ffl7k,2026-02-11 16:32:23,289,634
61,op-geth-75f4676cdc-ffl7k,2026-02-11 16:32:34,289,634
62,op-geth-75f4676cdc-ffl7k,2026-02-11 16:32:44,432,670
63,op-geth-75f4676cdc-ffl7k,2026-02-11 16:32:54,3152,633
64,op-geth-75f4676cdc-ffl7k,2026-02-11 16:33:04,3152,633
65,op-geth-75f4676cdc-ffl7k,2026-02-11 16:33:14,3457,602
66,op-geth-75f4676cdc-ffl7k,2026-02-11 16:33:24,3470,638
67,op-geth-75f4676cdc-ffl7k,2026-02-11 16:33:34,3470,638
68,op-geth-75f4676cdc-ffl7k,2026-02-11 16:33:45,3423,650
69,op-geth-75f4676cdc-ffl7k,2026-02-11 16:33:55,3419,613
70,op-geth-75f4676cdc-ffl7k,2026-02-11 16:34:05,3419,613
71,op-geth-75f4676cdc-ffl7k,2026-02-11 16:34:15,3457,657
72,op-geth-75f4676cdc-ffl7k,2026-02-11 16:34:25,3466,689
73,op-geth-75f4676cdc-ffl7k,2026-02-11 16:34:35,3510,724
74,op-geth-75f4676cdc-ffl7k,2026-02-11 16:34:45,3510,724
75,op-geth-75f4676cdc-ffl7k,2026-02-11 16:34:56,3499,720
76,op-geth-75f4676cdc-ffl7k,2026-02-11 16:35:06,3489,762
77,op-geth-75f4676cdc-ffl7k,2026-02-11 16:35:16,3489,762
78,op-geth-75f4676cdc-ffl7k,2026-02-11 16:35:26,3519,738
79,op-geth-75f4676cdc-ffl7k,2026-02-11 16:35:36,3517,792
80,op-geth-75f4676cdc-ffl7k,2026-02-11 16:35:46,3517,792
81,op-geth-75f4676cdc-ffl7k,2026-02-11 16:35:57,3515,819
82,op-geth-75f4676cdc-ffl7k,2026-02-11 16:36:07,3538,746
83,op-geth-75f4676cdc-ffl7k,2026-02-11 16:36:17,3538,746
84,op-geth-75f4676cdc-ffl7k,2026-02-11 16:36:27,3523,772
85,op-geth-75f4676cdc-ffl7k,2026-02-11 16:36:37,3483,769
86,op-geth-75f4676cdc-ffl7k,2026-02-11 16:36:47,3483,769
87,op-geth-75f4676cdc-ffl7k,2026-02-11 16:36:57,3498,752
88,op-geth-75f4676cdc-ffl7k,2026-02-11 16:37:08,3498,758
89,op-geth-75f4676cdc-ffl7k,2026-02-11 16:37:18,3498,758
90,op-geth-75f4676cdc-ffl7k,2026-02-11 16:37:28,3463,762
91,op-geth-75f4676cdc-ffl7k,2026-02-11 16:37:38,3495,758
92,op-geth-75f4676cdc-ffl7k,2026-02-11 16:37:48,3495,758
93,op-geth-75f4676cdc-ffl7k,2026-02-11 16:37:58,3495,758
94,op-geth-75f4676cdc-ffl7k,2026-02-11 16:38:08,260,688
95,op-geth-75f4676cdc-ffl7k,2026-02-11 16:38:19,260,688
96,op-geth-75f4676cdc-ffl7k,2026-02-11 16:38:29,7,689
97,op-geth-75f4676cdc-ffl7k,2026-02-11 16:38:39,7,690
98,op-geth-75f4676cdc-ffl7k,2026-02-11 16:38:49,7,690
