Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-geth-75f4676cdc-ffl7k,2026-02-11 16:26:59,7,511
1,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:10,7,511
2,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:20,7,511
3,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:30,227,514
4,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:40,267,521
5,op-geth-75f4676cdc-ffl7k,2026-02-11 16:27:50,284,535
6,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:00,284,535
7,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:10,288,544
8,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:20,282,560
9,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:31,282,560
10,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:41,281,583
11,op-geth-75f4676cdc-ffl7k,2026-02-11 16:28:51,279,585
12,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:01,279,585
13,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:11,294,598
14,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:21,284,603
15,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:31,284,603
16,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:41,280,604
17,op-geth-75f4676cdc-ffl7k,2026-02-11 16:29:52,282,607
18,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:02,282,607
19,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:12,293,609
20,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:22,279,617
21,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:32,279,617
22,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:42,285,633
23,op-geth-75f4676cdc-ffl7k,2026-02-11 16:30:52,285,633
24,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:02,285,633
25,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:13,283,632
26,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:23,398,575
27,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:33,398,575
28,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:43,274,591
29,op-geth-75f4676cdc-ffl7k,2026-02-11 16:31:53,296,581
30,op-geth-75f4676cdc-ffl7k,2026-02-11 16:32:03,296,581
