Row_Index,Block_Number,Total_Gas_Used
0,16612,4143748
1,16613,13911244
2,16614,14476300
3,16615,13561452
4,16616,13722876
5,16617,13615232
6,16618,13830496
7,16619,13857404
8,16620,14072668
9,16621,13399968
10,16622,13991956
11,16623,13561452
12,16624,13884348
13,16625,13588348
14,16626,14045760
15,16627,13642140
16,16628,13911220
17,16629,13642140
18,16630,14018852
19,16631,13507600
20,16632,13803612
21,16633,13884348
22,16634,13776704
23,16635,13534532
24,16636,13884312
25,16637,13642140
26,16638,14234116
27,16639,13615232
28,16640,13722864
29,16641,13507612
30,16642,14018876
31,16643,13588372
32,16644,13830520
33,16645,13776680
34,16646,13642140
35,16647,13830496
36,16648,13884312
37,16649,13722864
38,16650,13857404
39,16651,13830508
40,16652,13642188
41,16653,13803612
42,16654,13749796
43,16655,13803588
44,16656,13776680
45,16657,13830496
46,16658,13830496
47,16659,13561416
48,16660,13911220
49,16661,13615268
50,16662,13991968
51,16663,13776716
52,16664,13534520
53,16665,13722864
54,16666,13884312
55,16667,13911220
56,16668,13749772
57,16669,13749772
58,16670,13669060
59,16671,13642188
60,16672,13965060
61,16673,13561440
62,16674,13911220
63,16675,13884312
64,16676,13803588
65,16677,13642140
66,16678,13857404
67,16679,13695956
68,16680,13965060
69,16681,13669084
70,16682,13803624
71,16683,13615244
72,16684,13884312
73,16685,13695956
74,16686,13938128
75,16687,13830496
76,16688,13803588
77,16689,13615244
78,16690,13830520
79,16691,13695992
80,16692,14045784
81,16693,13588336
82,16694,13722864
83,16695,13722864
84,16696,13911220
85,16697,13749772
86,16698,13965036
87,16699,13695968
88,16700,13749808
89,16701,13669084
90,16702,13803612
91,16703,13722864
92,16704,14045760
93,16705,13669048
94,16706,13669048
95,16707,13669048
96,16708,13749772
97,16709,13669084
98,16710,13830532
99,16711,13776716
100,16712,13830496
101,16713,13561416
102,16714,13803588
103,16715,13776680
104,16716,13776680
105,16717,13803588
106,16718,13722888
107,16719,13722900
108,16720,13749808
109,16721,13776692
110,16722,13965036
111,16723,13561416
112,16724,13776680
113,16725,13749772
114,16726,13884312
115,16727,13749772
116,16728,13857440
117,16729,13722900
118,16730,13938152
119,16731,13480704
120,16732,13857404
121,16733,13695956
122,16734,14126484
123,16735,13749772
124,16736,13695956
125,16737,13884312
126,16738,13642188
127,16739,13722900
128,16740,13722888
129,16741,13830496
130,16742,13749772
131,16743,13722864
132,16744,13965036
133,16745,13669048
134,16746,13857404
135,16747,13749796
136,16748,13803624
137,16749,13642176
138,16750,13830508
139,16751,13722864
140,16752,13749772
141,16753,14018852
142,16754,13722864
143,16755,13588324
144,16756,13857404
145,16757,13749808
146,16758,14018876
147,16759,13695992
148,16760,13588336
149,16761,13857404
150,16762,13830496
151,16763,13884312
152,16764,13776680
153,16765,13830496
154,16766,13776680
155,16767,13669096
156,16768,13857428
157,16769,13615268
158,16770,12350556
