Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-11 16:06:45,default,beacon-85cbbc7d7b-t2cbt,69,208
2026-02-11 16:06:45,default,el-584bddccc7-zndtx,7,41
2026-02-11 16:06:45,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:06:45,default,op-geth-75f4676cdc-ffl7k,6,375
2026-02-11 16:06:45,default,op-node-58b7579566-2kvqz,29,153
2026-02-11 16:06:45,default,validator-5c45f686bc-xh52r,35,29
2026-02-11 16:06:45,testing,contender-85bb797bc8-t27wl,0,0
2026-02-11 16:06:55,default,beacon-85cbbc7d7b-t2cbt,91,208
2026-02-11 16:06:55,default,el-584bddccc7-zndtx,7,40
2026-02-11 16:06:55,default,op-batcher-7ddcb69467-cvxjs,3,43
2026-02-11 16:06:55,default,op-geth-75f4676cdc-ffl7k,6,375
2026-02-11 16:06:55,default,op-node-58b7579566-2kvqz,26,153
2026-02-11 16:06:55,default,validator-5c45f686bc-xh52r,40,29
2026-02-11 16:06:55,testing,contender-85bb797bc8-t27wl,2,1
2026-02-11 16:07:06,default,beacon-85cbbc7d7b-t2cbt,79,208
2026-02-11 16:07:06,default,el-584bddccc7-zndtx,8,39
2026-02-11 16:07:06,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:07:06,default,op-geth-75f4676cdc-ffl7k,7,375
2026-02-11 16:07:06,default,op-node-58b7579566-2kvqz,21,153
2026-02-11 16:07:06,default,validator-5c45f686bc-xh52r,41,31
2026-02-11 16:07:06,testing,contender-85bb797bc8-t27wl,4,7
2026-02-11 16:07:16,default,beacon-85cbbc7d7b-t2cbt,79,208
2026-02-11 16:07:16,default,el-584bddccc7-zndtx,8,39
2026-02-11 16:07:16,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:07:16,default,op-geth-75f4676cdc-ffl7k,7,375
2026-02-11 16:07:16,default,op-node-58b7579566-2kvqz,21,153
2026-02-11 16:07:16,default,validator-5c45f686bc-xh52r,41,31
2026-02-11 16:07:16,testing,contender-85bb797bc8-t27wl,4,7
2026-02-11 16:07:26,default,beacon-85cbbc7d7b-t2cbt,40,208
2026-02-11 16:07:26,default,el-584bddccc7-zndtx,9,40
2026-02-11 16:07:26,default,op-batcher-7ddcb69467-cvxjs,3,43
2026-02-11 16:07:26,default,op-geth-75f4676cdc-ffl7k,13,376
2026-02-11 16:07:26,default,op-node-58b7579566-2kvqz,27,153
2026-02-11 16:07:26,default,validator-5c45f686bc-xh52r,44,29
2026-02-11 16:07:26,testing,contender-85bb797bc8-t27wl,20,27
2026-02-11 16:07:36,default,beacon-85cbbc7d7b-t2cbt,81,208
2026-02-11 16:07:36,default,el-584bddccc7-zndtx,7,41
2026-02-11 16:07:36,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:07:36,default,op-geth-75f4676cdc-ffl7k,10,376
2026-02-11 16:07:36,default,op-node-58b7579566-2kvqz,22,154
2026-02-11 16:07:36,default,validator-5c45f686bc-xh52r,38,28
2026-02-11 16:07:36,testing,contender-85bb797bc8-t27wl,8,11
2026-02-11 16:07:46,default,beacon-85cbbc7d7b-t2cbt,81,208
2026-02-11 16:07:46,default,el-584bddccc7-zndtx,7,41
2026-02-11 16:07:46,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:07:46,default,op-geth-75f4676cdc-ffl7k,10,376
2026-02-11 16:07:46,default,op-node-58b7579566-2kvqz,22,154
2026-02-11 16:07:46,default,validator-5c45f686bc-xh52r,38,28
2026-02-11 16:07:46,testing,contender-85bb797bc8-t27wl,8,11
2026-02-11 16:07:56,default,beacon-85cbbc7d7b-t2cbt,60,209
2026-02-11 16:07:56,default,el-584bddccc7-zndtx,9,40
2026-02-11 16:07:56,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:07:56,default,op-geth-75f4676cdc-ffl7k,8,376
2026-02-11 16:07:56,default,op-node-58b7579566-2kvqz,26,154
2026-02-11 16:07:56,default,validator-5c45f686bc-xh52r,48,31
2026-02-11 16:07:56,testing,contender-85bb797bc8-t27wl,2,11
2026-02-11 16:08:06,default,beacon-85cbbc7d7b-t2cbt,78,209
2026-02-11 16:08:06,default,el-584bddccc7-zndtx,9,40
2026-02-11 16:08:06,default,op-batcher-7ddcb69467-cvxjs,3,43
2026-02-11 16:08:06,default,op-geth-75f4676cdc-ffl7k,7,376
2026-02-11 16:08:06,default,op-node-58b7579566-2kvqz,26,154
2026-02-11 16:08:06,default,validator-5c45f686bc-xh52r,35,32
2026-02-11 16:08:06,testing,contender-85bb797bc8-t27wl,2,11
2026-02-11 16:08:16,default,beacon-85cbbc7d7b-t2cbt,78,209
2026-02-11 16:08:16,default,el-584bddccc7-zndtx,9,40
2026-02-11 16:08:16,default,op-batcher-7ddcb69467-cvxjs,3,43
2026-02-11 16:08:16,default,op-geth-75f4676cdc-ffl7k,7,376
2026-02-11 16:08:16,default,op-node-58b7579566-2kvqz,26,154
2026-02-11 16:08:16,default,validator-5c45f686bc-xh52r,35,32
2026-02-11 16:08:16,testing,contender-85bb797bc8-t27wl,2,11
2026-02-11 16:08:26,default,beacon-85cbbc7d7b-t2cbt,77,209
2026-02-11 16:08:26,default,el-584bddccc7-zndtx,8,39
2026-02-11 16:08:26,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:08:26,default,op-geth-75f4676cdc-ffl7k,8,376
2026-02-11 16:08:26,default,op-node-58b7579566-2kvqz,25,154
2026-02-11 16:08:26,default,validator-5c45f686bc-xh52r,35,29
2026-02-11 16:08:26,testing,contender-85bb797bc8-t27wl,2,11
2026-02-11 16:08:37,default,beacon-85cbbc7d7b-t2cbt,84,209
2026-02-11 16:08:37,default,el-584bddccc7-zndtx,6,38
2026-02-11 16:08:37,default,op-batcher-7ddcb69467-cvxjs,2,43
2026-02-11 16:08:37,default,op-geth-75f4676cdc-ffl7k,8,376
2026-02-11 16:08:37,default,op-node-58b7579566-2kvqz,27,154
2026-02-11 16:08:37,default,validator-5c45f686bc-xh52r,39,30
2026-02-11 16:08:37,testing,contender-85bb797bc8-t27wl,2,11
2026-02-11 16:08:47,default,beacon-85cbbc7d7b-t2cbt,84,209
2026-02-11 16:08:47,default,el-584bddccc7-zndtx,6,38
