Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1770826118,1,16.0
1,1770826119,31,45.5
2,1770826120,60,74.5
3,1770826121,89,104.0
4,1770826122,119,104.0
5,1770826123,89,104.0
6,1770826124,119,104.0
7,1770826125,89,103.5
8,1770826126,118,103.0
9,1770826127,88,103.0
10,1770826128,118,103.5
11,1770826129,89,103.5
12,1770826130,118,103.0
13,1770826131,88,103.0
14,1770826132,118,103.0
15,1770826133,88,103.0
16,1770826134,118,103.5
17,1770826135,89,103.5
18,1770826136,118,103.5
19,1770826137,89,104.0
20,1770826138,119,104.0
21,1770826139,89,103.5
22,1770826140,118,103.5
23,1770826141,89,103.5
24,1770826142,118,103.0
25,1770826143,88,103.0
26,1770826144,118,103.5
27,1770826145,89,103.5
28,1770826146,118,103.5
29,1770826147,89,104.0
30,1770826148,119,103.5
31,1770826149,88,103.0
32,1770826150,118,103.5
33,1770826151,89,103.5
34,1770826152,118,103.5
35,1770826153,89,104.0
36,1770826154,119,103.5
37,1770826155,88,103.0
38,1770826156,118,103.5
39,1770826157,89,104.0
40,1770826158,119,103.5
41,1770826159,88,103.0
42,1770826160,118,103.5
43,1770826161,89,103.5
44,1770826162,118,103.5
45,1770826163,89,104.0
46,1770826164,119,103.5
47,1770826165,88,103.0
48,1770826166,118,103.0
49,1770826167,88,103.0
50,1770826168,118,103.5
51,1770826169,89,103.5
52,1770826170,118,103.0
53,1770826171,88,103.0
54,1770826172,118,103.0
55,1770826173,88,103.0
56,1770826174,118,103.5
57,1770826175,89,104.0
58,1770826176,119,103.5
59,1770826177,88,103.0
60,1770826178,118,103.5
61,1770826179,89,103.5
62,1770826180,118,103.5
63,1770826181,89,104.0
64,1770826182,119,103.5
65,1770826183,88,103.0
66,1770826184,118,103.5
67,1770826185,89,103.5
68,1770826186,118,103.0
69,1770826187,88,103.0
70,1770826188,118,103.0
71,1770826189,88,103.0
72,1770826190,118,103.5
73,1770826191,89,103.5
74,1770826192,118,103.5
75,1770826193,89,104.0
76,1770826194,119,104.0
77,1770826195,89,103.5
78,1770826196,118,103.5
79,1770826197,89,104.0
80,1770826198,119,103.5
81,1770826199,88,103.0
82,1770826200,118,103.5
83,1770826201,89,103.5
84,1770826202,118,103.0
85,1770826203,88,103.0
86,1770826204,118,103.0
87,1770826205,88,103.0
88,1770826206,118,103.5
89,1770826207,89,103.5
90,1770826208,118,103.5
91,1770826209,89,104.0
92,1770826210,119,103.5
93,1770826211,88,103.0
94,1770826212,118,103.5
95,1770826213,89,103.5
96,1770826214,118,103.0
97,1770826215,88,103.0
98,1770826216,118,103.5
99,1770826217,89,103.5
100,1770826218,118,103.5
101,1770826219,89,104.0
102,1770826220,119,103.5
103,1770826221,88,103.0
104,1770826222,118,103.5
105,1770826223,89,103.5
106,1770826224,118,103.0
107,1770826225,88,103.0
108,1770826226,118,103.0
109,1770826227,88,103.0
110,1770826228,118,103.5
111,1770826229,89,103.5
112,1770826230,118,103.0
113,1770826231,88,103.0
114,1770826232,118,103.5
115,1770826233,89,103.5
116,1770826234,118,103.5
117,1770826235,89,104.0
118,1770826236,119,103.5
119,1770826237,88,103.0
120,1770826238,118,103.5
121,1770826239,89,103.5
122,1770826240,118,103.5
123,1770826241,89,104.0
124,1770826242,119,103.5
125,1770826243,88,103.0
126,1770826244,118,103.5
127,1770826245,89,104.0
128,1770826246,119,103.5
129,1770826247,88,103.0
130,1770826248,118,103.0
131,1770826249,88,103.0
132,1770826250,118,103.5
133,1770826251,89,103.5
134,1770826252,118,103.5
135,1770826253,89,104.0
136,1770826254,119,103.5
137,1770826255,88,103.0
138,1770826256,118,103.5
139,1770826257,89,103.5
140,1770826258,118,103.0
141,1770826259,88,103.0
142,1770826260,118,103.0
143,1770826261,88,103.0
144,1770826262,118,103.5
145,1770826263,89,103.5
146,1770826264,118,103.5
147,1770826265,89,104.0
148,1770826266,119,103.5
149,1770826267,88,103.0
150,1770826268,118,103.5
151,1770826269,89,104.0
152,1770826270,119,103.5
153,1770826271,88,103.0
154,1770826272,118,103.0
155,1770826273,88,103.0
156,1770826274,118,103.5
157,1770826275,89,104.0
158,1770826276,119,103.5
159,1770826277,88,103.0
160,1770826278,118,103.0
161,1770826279,88,103.0
162,1770826280,118,103.5
163,1770826281,89,103.5
164,1770826282,118,103.0
165,1770826283,88,103.0
166,1770826284,118,103.0
167,1770826285,88,103.0
168,1770826286,118,103.5
169,1770826287,89,104.0
