Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-766c846f88-2sd5w,2026-02-11 20:12:22,14,88
1,op-batcher-766c846f88-2sd5w,2026-02-11 20:12:32,14,88
2,op-batcher-766c846f88-2sd5w,2026-02-11 20:12:42,6,88
3,op-batcher-766c846f88-2sd5w,2026-02-11 20:12:52,3,88
4,op-batcher-766c846f88-2sd5w,2026-02-11 20:13:02,3,88
5,op-batcher-766c846f88-2sd5w,2026-02-11 20:13:12,3,89
6,op-batcher-766c846f88-2sd5w,2026-02-11 20:13:22,5,90
7,op-batcher-766c846f88-2sd5w,2026-02-11 20:13:33,5,90
8,op-batcher-766c846f88-2sd5w,2026-02-11 20:13:43,3,90
9,op-batcher-766c846f88-2sd5w,2026-02-11 20:13:53,3,92
10,op-batcher-766c846f88-2sd5w,2026-02-11 20:14:03,3,92
11,op-batcher-766c846f88-2sd5w,2026-02-11 20:14:13,3,92
12,op-batcher-766c846f88-2sd5w,2026-02-11 20:14:23,5,94
13,op-batcher-766c846f88-2sd5w,2026-02-11 20:14:33,5,94
14,op-batcher-766c846f88-2sd5w,2026-02-11 20:14:43,5,94
15,op-batcher-766c846f88-2sd5w,2026-02-11 20:14:53,3,94
16,op-batcher-766c846f88-2sd5w,2026-02-11 20:15:04,3,94
17,op-batcher-766c846f88-2sd5w,2026-02-11 20:15:14,3,94
18,op-batcher-766c846f88-2sd5w,2026-02-11 20:15:24,3,94
19,op-batcher-766c846f88-2sd5w,2026-02-11 20:15:34,3,94
20,op-batcher-766c846f88-2sd5w,2026-02-11 20:15:44,3,94
21,op-batcher-766c846f88-2sd5w,2026-02-11 20:15:54,4,94
22,op-batcher-766c846f88-2sd5w,2026-02-11 20:16:04,4,94
23,op-batcher-766c846f88-2sd5w,2026-02-11 20:16:14,2,95
24,op-batcher-766c846f88-2sd5w,2026-02-11 20:16:25,5,95
25,op-batcher-766c846f88-2sd5w,2026-02-11 20:16:35,5,95
26,op-batcher-766c846f88-2sd5w,2026-02-11 20:16:45,3,95
27,op-batcher-766c846f88-2sd5w,2026-02-11 20:16:55,2,95
28,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:05,2,95
29,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:15,5,95
30,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:25,22,98
31,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:35,18,98
32,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:46,18,98
33,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:56,25,107
34,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:06,25,107
35,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:16,25,107
36,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:26,21,117
37,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:36,23,125
38,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:46,23,125
39,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:56,22,126
40,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:07,26,134
41,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:17,26,134
42,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:27,18,134
43,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:37,26,146
44,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:47,26,146
45,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:57,20,146
46,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:07,29,160
47,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:17,29,160
48,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:27,29,160
49,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:38,19,160
50,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:48,19,160
51,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:58,26,178
52,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:08,21,178
53,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:18,21,178
54,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:28,26,195
55,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:38,20,195
56,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:48,20,195
57,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:59,19,195
58,op-batcher-766c846f88-2sd5w,2026-02-11 20:22:09,20,196
59,op-batcher-766c846f88-2sd5w,2026-02-11 20:22:19,20,196
60,op-batcher-766c846f88-2sd5w,2026-02-11 20:22:29,30,210
61,op-batcher-766c846f88-2sd5w,2026-02-11 20:22:39,7,210
62,op-batcher-766c846f88-2sd5w,2026-02-11 20:22:49,7,210
63,op-batcher-766c846f88-2sd5w,2026-02-11 20:22:59,4,210
64,op-batcher-766c846f88-2sd5w,2026-02-11 20:23:10,7,210
65,op-batcher-766c846f88-2sd5w,2026-02-11 20:23:20,7,210
66,op-batcher-766c846f88-2sd5w,2026-02-11 20:23:30,4,210
67,op-batcher-766c846f88-2sd5w,2026-02-11 20:23:40,4,210
68,op-batcher-766c846f88-2sd5w,2026-02-11 20:23:50,6,210
69,op-batcher-766c846f88-2sd5w,2026-02-11 20:24:00,6,210
70,op-batcher-766c846f88-2sd5w,2026-02-11 20:24:10,4,211
71,op-batcher-766c846f88-2sd5w,2026-02-11 20:24:21,12,219
72,op-batcher-766c846f88-2sd5w,2026-02-11 20:24:31,12,219
73,op-batcher-766c846f88-2sd5w,2026-02-11 20:24:41,5,219
74,op-batcher-766c846f88-2sd5w,2026-02-11 20:24:51,5,219
75,op-batcher-766c846f88-2sd5w,2026-02-11 20:25:01,5,219
76,op-batcher-766c846f88-2sd5w,2026-02-11 20:25:11,5,219
77,op-batcher-766c846f88-2sd5w,2026-02-11 20:25:21,4,219
78,op-batcher-766c846f88-2sd5w,2026-02-11 20:25:32,4,219
79,op-batcher-766c846f88-2sd5w,2026-02-11 20:25:42,5,219
80,op-batcher-766c846f88-2sd5w,2026-02-11 20:25:52,7,219
81,op-batcher-766c846f88-2sd5w,2026-02-11 20:26:02,7,219
82,op-batcher-766c846f88-2sd5w,2026-02-11 20:26:12,4,219
83,op-batcher-766c846f88-2sd5w,2026-02-11 20:26:22,13,219
84,op-batcher-766c846f88-2sd5w,2026-02-11 20:26:32,13,219
85,op-batcher-766c846f88-2sd5w,2026-02-11 20:26:42,7,219
86,op-batcher-766c846f88-2sd5w,2026-02-11 20:26:53,4,219
87,op-batcher-766c846f88-2sd5w,2026-02-11 20:27:03,4,219
88,op-batcher-766c846f88-2sd5w,2026-02-11 20:27:13,5,219
89,op-batcher-766c846f88-2sd5w,2026-02-11 20:27:23,5,219
90,op-batcher-766c846f88-2sd5w,2026-02-11 20:27:33,5,219
91,op-batcher-766c846f88-2sd5w,2026-02-11 20:27:43,6,219
92,op-batcher-766c846f88-2sd5w,2026-02-11 20:27:53,5,219
93,op-batcher-766c846f88-2sd5w,2026-02-11 20:28:04,5,219
94,op-batcher-766c846f88-2sd5w,2026-02-11 20:28:14,3,219
95,op-batcher-766c846f88-2sd5w,2026-02-11 20:28:24,6,192
96,op-batcher-766c846f88-2sd5w,2026-02-11 20:28:34,6,192
97,op-batcher-766c846f88-2sd5w,2026-02-11 20:28:44,3,192
