Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-geth-58cfb95cd4-jd97r,2026-02-11 20:12:22,146,598
1,op-geth-58cfb95cd4-jd97r,2026-02-11 20:12:32,146,598
2,op-geth-58cfb95cd4-jd97r,2026-02-11 20:12:42,194,613
3,op-geth-58cfb95cd4-jd97r,2026-02-11 20:12:52,13,613
4,op-geth-58cfb95cd4-jd97r,2026-02-11 20:13:02,13,613
5,op-geth-58cfb95cd4-jd97r,2026-02-11 20:13:12,14,613
6,op-geth-58cfb95cd4-jd97r,2026-02-11 20:13:22,15,614
7,op-geth-58cfb95cd4-jd97r,2026-02-11 20:13:33,15,614
8,op-geth-58cfb95cd4-jd97r,2026-02-11 20:13:43,16,614
9,op-geth-58cfb95cd4-jd97r,2026-02-11 20:13:53,16,606
10,op-geth-58cfb95cd4-jd97r,2026-02-11 20:14:03,16,606
11,op-geth-58cfb95cd4-jd97r,2026-02-11 20:14:13,11,607
12,op-geth-58cfb95cd4-jd97r,2026-02-11 20:14:23,22,620
13,op-geth-58cfb95cd4-jd97r,2026-02-11 20:14:33,22,620
14,op-geth-58cfb95cd4-jd97r,2026-02-11 20:14:43,22,620
15,op-geth-58cfb95cd4-jd97r,2026-02-11 20:14:53,12,620
16,op-geth-58cfb95cd4-jd97r,2026-02-11 20:15:04,12,620
17,op-geth-58cfb95cd4-jd97r,2026-02-11 20:15:14,12,620
18,op-geth-58cfb95cd4-jd97r,2026-02-11 20:15:24,15,621
19,op-geth-58cfb95cd4-jd97r,2026-02-11 20:15:34,15,621
20,op-geth-58cfb95cd4-jd97r,2026-02-11 20:15:44,12,621
21,op-geth-58cfb95cd4-jd97r,2026-02-11 20:15:54,11,621
22,op-geth-58cfb95cd4-jd97r,2026-02-11 20:16:04,11,621
23,op-geth-58cfb95cd4-jd97r,2026-02-11 20:16:14,11,621
24,op-geth-58cfb95cd4-jd97r,2026-02-11 20:16:25,11,622
25,op-geth-58cfb95cd4-jd97r,2026-02-11 20:16:35,11,622
26,op-geth-58cfb95cd4-jd97r,2026-02-11 20:16:45,10,622
27,op-geth-58cfb95cd4-jd97r,2026-02-11 20:16:55,10,622
28,op-geth-58cfb95cd4-jd97r,2026-02-11 20:17:05,10,622
29,op-geth-58cfb95cd4-jd97r,2026-02-11 20:17:15,75,614
30,op-geth-58cfb95cd4-jd97r,2026-02-11 20:17:25,352,618
31,op-geth-58cfb95cd4-jd97r,2026-02-11 20:17:35,358,630
32,op-geth-58cfb95cd4-jd97r,2026-02-11 20:17:46,358,630
33,op-geth-58cfb95cd4-jd97r,2026-02-11 20:17:56,366,632
