Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-node-76bc866d6f-9crgw,2026-02-11 20:12:22,39,183
1,op-node-76bc866d6f-9crgw,2026-02-11 20:12:32,39,183
2,op-node-76bc866d6f-9crgw,2026-02-11 20:12:42,39,183
3,op-node-76bc866d6f-9crgw,2026-02-11 20:12:52,43,185
4,op-node-76bc866d6f-9crgw,2026-02-11 20:13:02,43,185
5,op-node-76bc866d6f-9crgw,2026-02-11 20:13:12,46,185
6,op-node-76bc866d6f-9crgw,2026-02-11 20:13:22,43,185
7,op-node-76bc866d6f-9crgw,2026-02-11 20:13:33,43,185
8,op-node-76bc866d6f-9crgw,2026-02-11 20:13:43,38,186
9,op-node-76bc866d6f-9crgw,2026-02-11 20:13:53,39,186
10,op-node-76bc866d6f-9crgw,2026-02-11 20:14:03,39,186
11,op-node-76bc866d6f-9crgw,2026-02-11 20:14:13,28,186
12,op-node-76bc866d6f-9crgw,2026-02-11 20:14:23,44,186
13,op-node-76bc866d6f-9crgw,2026-02-11 20:14:33,44,186
14,op-node-76bc866d6f-9crgw,2026-02-11 20:14:43,41,186
15,op-node-76bc866d6f-9crgw,2026-02-11 20:14:53,38,186
16,op-node-76bc866d6f-9crgw,2026-02-11 20:15:04,38,186
17,op-node-76bc866d6f-9crgw,2026-02-11 20:15:14,38,186
18,op-node-76bc866d6f-9crgw,2026-02-11 20:15:24,38,186
19,op-node-76bc866d6f-9crgw,2026-02-11 20:15:34,38,186
20,op-node-76bc866d6f-9crgw,2026-02-11 20:15:44,51,186
21,op-node-76bc866d6f-9crgw,2026-02-11 20:15:54,45,186
22,op-node-76bc866d6f-9crgw,2026-02-11 20:16:04,45,186
23,op-node-76bc866d6f-9crgw,2026-02-11 20:16:14,38,186
24,op-node-76bc866d6f-9crgw,2026-02-11 20:16:25,39,186
25,op-node-76bc866d6f-9crgw,2026-02-11 20:16:35,39,186
26,op-node-76bc866d6f-9crgw,2026-02-11 20:16:45,43,186
27,op-node-76bc866d6f-9crgw,2026-02-11 20:16:55,44,186
28,op-node-76bc866d6f-9crgw,2026-02-11 20:17:05,44,186
29,op-node-76bc866d6f-9crgw,2026-02-11 20:17:15,44,186
30,op-node-76bc866d6f-9crgw,2026-02-11 20:17:25,35,188
31,op-node-76bc866d6f-9crgw,2026-02-11 20:17:35,53,199
32,op-node-76bc866d6f-9crgw,2026-02-11 20:17:46,53,199
33,op-node-76bc866d6f-9crgw,2026-02-11 20:17:56,49,199
34,op-node-76bc866d6f-9crgw,2026-02-11 20:18:06,52,199
35,op-node-76bc866d6f-9crgw,2026-02-11 20:18:16,52,199
36,op-node-76bc866d6f-9crgw,2026-02-11 20:18:26,49,208
37,op-node-76bc866d6f-9crgw,2026-02-11 20:18:36,49,208
38,op-node-76bc866d6f-9crgw,2026-02-11 20:18:46,49,208
39,op-node-76bc866d6f-9crgw,2026-02-11 20:18:56,48,208
40,op-node-76bc866d6f-9crgw,2026-02-11 20:19:07,54,208
41,op-node-76bc866d6f-9crgw,2026-02-11 20:19:17,54,208
42,op-node-76bc866d6f-9crgw,2026-02-11 20:19:27,51,208
43,op-node-76bc866d6f-9crgw,2026-02-11 20:19:37,52,209
44,op-node-76bc866d6f-9crgw,2026-02-11 20:19:47,52,209
45,op-node-76bc866d6f-9crgw,2026-02-11 20:19:57,52,209
