Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-node-76bc866d6f-9crgw,2026-02-11 20:17:05,44,186
1,op-node-76bc866d6f-9crgw,2026-02-11 20:17:15,44,186
2,op-node-76bc866d6f-9crgw,2026-02-11 20:17:25,35,188
3,op-node-76bc866d6f-9crgw,2026-02-11 20:17:35,53,199
4,op-node-76bc866d6f-9crgw,2026-02-11 20:17:46,53,199
5,op-node-76bc866d6f-9crgw,2026-02-11 20:17:56,49,199
6,op-node-76bc866d6f-9crgw,2026-02-11 20:18:06,52,199
7,op-node-76bc866d6f-9crgw,2026-02-11 20:18:16,52,199
8,op-node-76bc866d6f-9crgw,2026-02-11 20:18:26,49,208
9,op-node-76bc866d6f-9crgw,2026-02-11 20:18:36,49,208
10,op-node-76bc866d6f-9crgw,2026-02-11 20:18:46,49,208
11,op-node-76bc866d6f-9crgw,2026-02-11 20:18:56,48,208
12,op-node-76bc866d6f-9crgw,2026-02-11 20:19:07,54,208
13,op-node-76bc866d6f-9crgw,2026-02-11 20:19:17,54,208
14,op-node-76bc866d6f-9crgw,2026-02-11 20:19:27,51,208
15,op-node-76bc866d6f-9crgw,2026-02-11 20:19:37,52,209
16,op-node-76bc866d6f-9crgw,2026-02-11 20:19:47,52,209
17,op-node-76bc866d6f-9crgw,2026-02-11 20:19:57,52,209
18,op-node-76bc866d6f-9crgw,2026-02-11 20:20:07,57,213
19,op-node-76bc866d6f-9crgw,2026-02-11 20:20:17,57,213
20,op-node-76bc866d6f-9crgw,2026-02-11 20:20:27,57,213
21,op-node-76bc866d6f-9crgw,2026-02-11 20:20:38,53,213
22,op-node-76bc866d6f-9crgw,2026-02-11 20:20:48,53,213
23,op-node-76bc866d6f-9crgw,2026-02-11 20:20:58,51,213
24,op-node-76bc866d6f-9crgw,2026-02-11 20:21:08,58,213
25,op-node-76bc866d6f-9crgw,2026-02-11 20:21:18,58,213
26,op-node-76bc866d6f-9crgw,2026-02-11 20:21:28,55,214
27,op-node-76bc866d6f-9crgw,2026-02-11 20:21:38,50,214
28,op-node-76bc866d6f-9crgw,2026-02-11 20:21:48,50,214
29,op-node-76bc866d6f-9crgw,2026-02-11 20:21:59,53,216
30,op-node-76bc866d6f-9crgw,2026-02-11 20:22:09,52,216
