Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-11 19:57:11,48,475
1,2026-02-11 19:57:21,11,475
2,2026-02-11 19:57:31,11,475
3,2026-02-11 19:57:41,14,476
4,2026-02-11 19:57:52,15,476
5,2026-02-11 19:58:02,15,476
6,2026-02-11 19:58:12,11,476
7,2026-02-11 19:58:22,12,476
8,2026-02-11 19:58:32,12,476
9,2026-02-11 19:58:42,12,477
10,2026-02-11 19:58:52,11,477
11,2026-02-11 19:59:02,11,477
12,2026-02-11 19:59:12,11,477
13,2026-02-11 19:59:23,53,478
14,2026-02-11 19:59:33,53,478
15,2026-02-11 19:59:43,70,480
16,2026-02-11 19:59:53,70,483
17,2026-02-11 20:00:03,70,483
18,2026-02-11 20:00:13,70,483
19,2026-02-11 20:00:23,75,485
20,2026-02-11 20:00:33,75,485
21,2026-02-11 20:00:44,74,487
22,2026-02-11 20:00:54,74,487
23,2026-02-11 20:01:04,74,487
24,2026-02-11 20:01:14,72,490
25,2026-02-11 20:01:24,77,491
26,2026-02-11 20:01:34,77,491
27,2026-02-11 20:01:44,72,491
28,2026-02-11 20:01:54,72,492
29,2026-02-11 20:02:04,72,492
30,2026-02-11 20:02:15,72,493
31,2026-02-11 20:02:25,72,493
32,2026-02-11 20:02:35,72,493
33,2026-02-11 20:02:45,70,495
34,2026-02-11 20:02:55,73,498
35,2026-02-11 20:03:05,73,499
36,2026-02-11 20:03:15,73,499
37,2026-02-11 20:03:25,72,500
38,2026-02-11 20:03:36,70,501
39,2026-02-11 20:03:46,70,501
40,2026-02-11 20:03:56,72,504
