Row_Index,Block_Number,Total_Gas_Used
0,22974,269044
1,22975,1587356
2,22976,1614264
3,22977,1587356
4,22978,1587356
5,22979,1614264
6,22980,1587356
7,22981,1587368
8,22982,1614264
9,22983,1587356
10,22984,1587356
11,22985,1587356
12,22986,1614264
13,22987,1587356
14,22988,1587380
15,22989,1614264
16,22990,1587356
17,22991,1587356
18,22992,1614264
19,22993,1587356
20,22994,1614264
21,22995,1587356
22,22996,1587368
23,22997,1587356
24,22998,1614264
25,22999,1587356
26,23000,1587356
27,23001,1614264
28,23002,1587356
29,23003,1587380
30,23004,1614264
31,23005,1587356
32,23006,1587356
33,23007,1587356
34,23008,1614264
35,23009,1587356
36,23010,1614264
37,23011,1587368
38,23012,1587356
39,23013,1587356
40,23014,1614264
41,23015,1587356
42,23016,1587356
43,23017,1614264
44,23018,1587380
45,23019,1587356
46,23020,1614264
47,23021,1587356
48,23022,1587356
49,23023,1614264
50,23024,1587356
51,23025,1587368
52,23026,1614264
53,23027,1587356
54,23028,1587356
55,23029,1587356
56,23030,1614264
57,23031,1587356
58,23032,1587380
59,23033,1587356
60,23034,1614264
61,23035,1587356
62,23036,1587356
63,23037,1587356
64,23038,1614264
65,23039,1587368
66,23040,1587356
67,23041,1614264
68,23042,1587356
69,23043,1587356
70,23044,1614264
71,23045,1587356
72,23046,1587380
73,23047,1614264
74,23048,1587356
75,23049,1587356
76,23050,1587356
77,23051,1614264
78,23052,1587356
79,23053,1587368
80,23054,1614264
81,23055,1587356
82,23056,1587356
83,23057,1587356
84,23058,1614264
85,23059,1587356
86,23060,1587380
87,23061,1614264
88,23062,1587356
89,23063,1587356
90,23064,1614264
91,23065,1587356
92,23066,1587356
93,23067,1587368
94,23068,1614264
95,23069,1587356
96,23070,1587356
97,23071,1614264
98,23072,1587356
99,23073,1587356
100,23074,1587380
101,23075,1614264
102,23076,1587356
103,23077,1614264
104,23078,1587356
105,23079,1587356
106,23080,1587356
107,23081,1587368
108,23082,1614264
109,23083,1587356
110,23084,1614264
111,23085,1587356
112,23086,1587356
113,23087,1587356
114,23088,1614264
115,23089,1587380
116,23090,1587356
117,23091,1587356
118,23092,1614264
119,23093,1587356
120,23094,1587356
121,23095,1587368
122,23096,1587356
123,23097,1614264
124,23098,1587356
125,23099,1587356
126,23100,1614264
127,23101,1587356
128,23102,1587380
129,23103,1587356
130,23104,1614264
131,23105,1587356
132,23106,1587356
133,23107,1614264
134,23108,1587356
135,23109,1587368
136,23110,1587356
137,23111,1614264
138,23112,1587356
139,23113,1614264
140,23114,1560448
141,23115,1614264
142,23116,1587380
143,23117,1587356
144,23118,1614264
145,23119,1587356
146,23120,1587356
147,23121,1587356
148,23122,1614264
149,23123,1587368
150,23124,1587356
151,23125,1614264
152,23126,968568
