Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1770839936,10,24.5
1,1770839937,39,54.0
2,1770839938,69,79.0
3,1770839939,89,103.5
4,1770839940,118,103.5
5,1770839941,89,104.0
6,1770839942,119,103.5
7,1770839943,88,103.0
8,1770839944,118,103.5
9,1770839945,89,103.5
10,1770839946,118,103.5
11,1770839947,89,104.0
12,1770839948,119,103.5
13,1770839949,88,103.0
14,1770839950,118,103.0
15,1770839951,88,103.0
16,1770839952,118,103.5
17,1770839953,89,103.5
18,1770839954,118,103.0
19,1770839955,88,103.0
20,1770839956,118,103.0
21,1770839957,88,103.0
22,1770839958,118,103.0
23,1770839959,88,103.0
24,1770839960,118,103.5
25,1770839961,89,104.0
26,1770839962,119,103.5
27,1770839963,88,103.0
28,1770839964,118,103.5
29,1770839965,89,103.5
30,1770839966,118,103.5
31,1770839967,89,104.0
32,1770839968,119,103.5
33,1770839969,88,103.0
34,1770839970,118,103.5
35,1770839971,89,103.5
36,1770839972,118,103.5
37,1770839973,89,104.0
38,1770839974,119,103.5
39,1770839975,88,103.0
40,1770839976,118,103.5
41,1770839977,89,103.5
42,1770839978,118,103.0
43,1770839979,88,103.0
44,1770839980,118,103.0
45,1770839981,88,103.0
46,1770839982,118,103.5
47,1770839983,89,103.5
48,1770839984,118,103.5
49,1770839985,89,104.0
50,1770839986,119,103.5
51,1770839987,88,103.0
52,1770839988,118,103.5
53,1770839989,89,103.5
54,1770839990,118,103.5
55,1770839991,89,104.0
56,1770839992,119,103.5
57,1770839993,88,103.0
58,1770839994,118,103.0
59,1770839995,88,103.0
60,1770839996,118,103.5
61,1770839997,89,103.5
62,1770839998,118,103.0
63,1770839999,88,103.0
64,1770840000,118,103.0
65,1770840001,88,103.0
66,1770840002,118,103.5
67,1770840003,89,103.5
68,1770840004,118,103.5
69,1770840005,89,104.0
70,1770840006,119,103.5
71,1770840007,88,103.0
72,1770840008,118,103.5
73,1770840009,89,103.5
74,1770840010,118,103.0
75,1770840011,88,103.0
76,1770840012,118,103.0
77,1770840013,88,103.0
