Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-7ddcb69467-jprj9,2026-02-12 05:06:54,10,27
1,op-batcher-7ddcb69467-jprj9,2026-02-12 05:07:04,10,27
2,op-batcher-7ddcb69467-jprj9,2026-02-12 05:07:14,10,26
3,op-batcher-7ddcb69467-jprj9,2026-02-12 05:07:24,4,27
4,op-batcher-7ddcb69467-jprj9,2026-02-12 05:07:34,4,27
5,op-batcher-7ddcb69467-jprj9,2026-02-12 05:07:44,3,22
6,op-batcher-7ddcb69467-jprj9,2026-02-12 05:07:54,2,23
7,op-batcher-7ddcb69467-jprj9,2026-02-12 05:08:04,2,23
8,op-batcher-7ddcb69467-jprj9,2026-02-12 05:08:15,3,22
9,op-batcher-7ddcb69467-jprj9,2026-02-12 05:08:25,3,22
10,op-batcher-7ddcb69467-jprj9,2026-02-12 05:08:35,3,22
11,op-batcher-7ddcb69467-jprj9,2026-02-12 05:08:45,3,23
12,op-batcher-7ddcb69467-jprj9,2026-02-12 05:08:55,3,22
13,op-batcher-7ddcb69467-jprj9,2026-02-12 05:09:05,3,23
14,op-batcher-7ddcb69467-jprj9,2026-02-12 05:09:15,3,23
15,op-batcher-7ddcb69467-jprj9,2026-02-12 05:09:25,3,22
16,op-batcher-7ddcb69467-jprj9,2026-02-12 05:09:36,3,22
17,op-batcher-7ddcb69467-jprj9,2026-02-12 05:09:46,3,22
18,op-batcher-7ddcb69467-jprj9,2026-02-12 05:09:56,2,22
19,op-batcher-7ddcb69467-jprj9,2026-02-12 05:10:06,3,23
20,op-batcher-7ddcb69467-jprj9,2026-02-12 05:10:16,3,23
21,op-batcher-7ddcb69467-jprj9,2026-02-12 05:10:26,3,22
22,op-batcher-7ddcb69467-jprj9,2026-02-12 05:10:36,3,22
23,op-batcher-7ddcb69467-jprj9,2026-02-12 05:10:46,3,22
24,op-batcher-7ddcb69467-jprj9,2026-02-12 05:10:56,3,22
25,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:07,2,23
26,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:17,2,23
27,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:27,3,23
28,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:37,3,22
29,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:47,3,22
30,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:57,4,23
31,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:07,22,29
32,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:17,22,29
33,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:28,21,36
34,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:38,22,41
35,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:48,22,41
36,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:58,18,43
37,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:08,18,43
38,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:18,18,43
39,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:28,22,53
40,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:38,21,53
41,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:49,21,53
42,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:59,23,55
43,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:09,21,57
44,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:19,21,57
45,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:29,21,61
46,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:39,24,66
47,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:49,24,66
48,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:59,22,71
49,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:10,22,77
50,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:20,22,77
51,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:30,19,77
52,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:40,28,78
53,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:50,28,78
54,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:00,19,80
55,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:10,19,86
56,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:20,24,92
57,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:31,24,92
58,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:41,24,92
59,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:51,22,92
60,op-batcher-7ddcb69467-jprj9,2026-02-12 05:17:01,22,92
61,op-batcher-7ddcb69467-jprj9,2026-02-12 05:17:11,19,92
62,op-batcher-7ddcb69467-jprj9,2026-02-12 05:17:21,4,92
