Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-12 05:11:47,default,beacon-85cbbc7d7b-dr7z,94,219
2026-02-12 05:11:47,default,el-584bddccc7-ljpwp,9,61
2026-02-12 05:11:47,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 05:11:47,default,op-geth-75f4676cdc-n84lh,7,334
2026-02-12 05:11:47,default,op-node-fc4c5d564-dptkw,30,193
2026-02-12 05:11:47,default,op-rbuilder-784769bd78-bd7n,10,171
2026-02-12 05:11:47,default,rollup-boost-cb6c88c87-6qqtb,3,9
2026-02-12 05:11:47,default,validator-5c45f686bc-p6d5w,37,35
2026-02-12 05:11:47,testing,contender-85bb797bc8-x54s5,2,16
2026-02-12 05:11:57,default,beacon-85cbbc7d7b-dr7z,94,219
2026-02-12 05:11:57,default,el-584bddccc7-ljpwp,9,61
2026-02-12 05:11:57,default,op-batcher-7ddcb69467-jprj9,4,23
2026-02-12 05:11:57,default,op-geth-75f4676cdc-n84lh,39,337
2026-02-12 05:11:57,default,op-node-fc4c5d564-dptkw,26,193
2026-02-12 05:11:57,default,op-rbuilder-784769bd78-bd7n,70,180
2026-02-12 05:11:57,default,rollup-boost-cb6c88c87-6qqtb,4,9
2026-02-12 05:11:57,default,validator-5c45f686bc-p6d5w,31,33
2026-02-12 05:11:57,testing,contender-85bb797bc8-x54s5,72,112
2026-02-12 05:12:07,default,beacon-85cbbc7d7b-dr7z,82,222
2026-02-12 05:12:07,default,el-584bddccc7-ljpwp,9,62
2026-02-12 05:12:07,default,op-batcher-7ddcb69467-jprj9,22,29
2026-02-12 05:12:07,default,op-geth-75f4676cdc-n84lh,220,337
2026-02-12 05:12:07,default,op-node-fc4c5d564-dptkw,40,220
2026-02-12 05:12:07,default,op-rbuilder-784769bd78-bd7n,163,185
2026-02-12 05:12:07,default,rollup-boost-cb6c88c87-6qqtb,9,9
2026-02-12 05:12:07,default,validator-5c45f686bc-p6d5w,35,34
2026-02-12 05:12:07,testing,contender-85bb797bc8-x54s5,97,111
2026-02-12 05:12:17,default,beacon-85cbbc7d7b-dr7z,82,222
2026-02-12 05:12:17,default,el-584bddccc7-ljpwp,9,62
2026-02-12 05:12:17,default,op-batcher-7ddcb69467-jprj9,22,29
2026-02-12 05:12:17,default,op-geth-75f4676cdc-n84lh,220,337
2026-02-12 05:12:17,default,op-node-fc4c5d564-dptkw,40,220
2026-02-12 05:12:17,default,op-rbuilder-784769bd78-bd7n,163,185
2026-02-12 05:12:17,default,rollup-boost-cb6c88c87-6qqtb,9,9
2026-02-12 05:12:17,default,validator-5c45f686bc-p6d5w,35,34
2026-02-12 05:12:17,testing,contender-85bb797bc8-x54s5,97,111
2026-02-12 05:12:28,default,beacon-85cbbc7d7b-dr7z,78,231
2026-02-12 05:12:28,default,el-584bddccc7-ljpwp,7,64
2026-02-12 05:12:28,default,op-batcher-7ddcb69467-jprj9,21,36
2026-02-12 05:12:28,default,op-geth-75f4676cdc-n84lh,228,350
2026-02-12 05:12:28,default,op-node-fc4c5d564-dptkw,45,235
2026-02-12 05:12:28,default,op-rbuilder-784769bd78-bd7n,163,185
2026-02-12 05:12:28,default,rollup-boost-cb6c88c87-6qqtb,9,9
2026-02-12 05:12:28,default,validator-5c45f686bc-p6d5w,43,34
2026-02-12 05:12:28,testing,contender-85bb797bc8-x54s5,99,112
2026-02-12 05:12:38,default,beacon-85cbbc7d7b-dr7z,78,231
2026-02-12 05:12:38,default,el-584bddccc7-ljpwp,13,65
2026-02-12 05:12:38,default,op-batcher-7ddcb69467-jprj9,22,41
2026-02-12 05:12:38,default,op-geth-75f4676cdc-n84lh,228,350
2026-02-12 05:12:38,default,op-node-fc4c5d564-dptkw,43,235
2026-02-12 05:12:38,default,op-rbuilder-784769bd78-bd7n,165,188
2026-02-12 05:12:38,default,rollup-boost-cb6c88c87-6qqtb,9,9
2026-02-12 05:12:38,default,validator-5c45f686bc-p6d5w,38,33
2026-02-12 05:12:38,testing,contender-85bb797bc8-x54s5,97,112
2026-02-12 05:12:48,default,beacon-85cbbc7d7b-dr7z,78,231
2026-02-12 05:12:48,default,el-584bddccc7-ljpwp,13,65
2026-02-12 05:12:48,default,op-batcher-7ddcb69467-jprj9,22,41
2026-02-12 05:12:48,default,op-geth-75f4676cdc-n84lh,228,350
2026-02-12 05:12:48,default,op-node-fc4c5d564-dptkw,43,235
2026-02-12 05:12:48,default,op-rbuilder-784769bd78-bd7n,165,188
2026-02-12 05:12:48,default,rollup-boost-cb6c88c87-6qqtb,9,9
2026-02-12 05:12:48,default,validator-5c45f686bc-p6d5w,38,33
2026-02-12 05:12:48,testing,contender-85bb797bc8-x54s5,97,112
2026-02-12 05:12:58,default,beacon-85cbbc7d7b-dr7z,65,223
2026-02-12 05:12:58,default,el-584bddccc7-ljpwp,10,66
2026-02-12 05:12:58,default,op-batcher-7ddcb69467-jprj9,18,43
2026-02-12 05:12:58,default,op-geth-75f4676cdc-n84lh,214,368
2026-02-12 05:12:58,default,op-node-fc4c5d564-dptkw,45,235
2026-02-12 05:12:58,default,op-rbuilder-784769bd78-bd7n,161,194
2026-02-12 05:12:58,default,rollup-boost-cb6c88c87-6qqtb,8,9
2026-02-12 05:12:58,default,validator-5c45f686bc-p6d5w,42,33
2026-02-12 05:12:58,testing,contender-85bb797bc8-x54s5,97,112
2026-02-12 05:13:08,default,beacon-85cbbc7d7b-dr7z,92,223
2026-02-12 05:13:08,default,el-584bddccc7-ljpwp,8,68
2026-02-12 05:13:08,default,op-batcher-7ddcb69467-jprj9,18,43
2026-02-12 05:13:08,default,op-geth-75f4676cdc-n84lh,227,382
2026-02-12 05:13:08,default,op-node-fc4c5d564-dptkw,41,241
2026-02-12 05:13:08,default,op-rbuilder-784769bd78-bd7n,159,193
2026-02-12 05:13:08,default,rollup-boost-cb6c88c87-6qqtb,10,9
2026-02-12 05:13:08,default,validator-5c45f686bc-p6d5w,42,34
2026-02-12 05:13:08,testing,contender-85bb797bc8-x54s5,97,112
2026-02-12 05:13:18,default,beacon-85cbbc7d7b-dr7z,92,223
2026-02-12 05:13:18,default,el-584bddccc7-ljpwp,8,68
2026-02-12 05:13:18,default,op-batcher-7ddcb69467-jprj9,18,43
2026-02-12 05:13:18,default,op-geth-75f4676cdc-n84lh,227,382
2026-02-12 05:13:18,default,op-node-fc4c5d564-dptkw,41,241
2026-02-12 05:13:18,default,op-rbuilder-784769bd78-bd7n,159,193
2026-02-12 05:13:18,default,rollup-boost-cb6c88c87-6qqtb,10,9
2026-02-12 05:13:18,default,validator-5c45f686bc-p6d5w,42,34
2026-02-12 05:13:18,testing,contender-85bb797bc8-x54s5,97,112
2026-02-12 05:13:28,default,beacon-85cbbc7d7b-dr7z,64,223
2026-02-12 05:13:28,default,el-584bddccc7-ljpwp,12,69
2026-02-12 05:13:28,default,op-batcher-7ddcb69467-jprj9,22,53
2026-02-12 05:13:28,default,op-geth-75f4676cdc-n84lh,208,387
2026-02-12 05:13:28,default,op-node-fc4c5d564-dptkw,36,241
2026-02-12 05:13:28,default,op-rbuilder-784769bd78-bd7n,158,199
2026-02-12 05:13:28,default,rollup-boost-cb6c88c87-6qqtb,8,10
2026-02-12 05:13:28,default,validator-5c45f686bc-p6d5w,46,34
2026-02-12 05:13:28,testing,contender-85bb797bc8-x54s5,100,113
2026-02-12 05:13:38,default,beacon-85cbbc7d7b-dr7z,100,222
2026-02-12 05:13:38,default,el-584bddccc7-ljpwp,10,67
2026-02-12 05:13:38,default,op-batcher-7ddcb69467-jprj9,21,53
2026-02-12 05:13:38,default,op-geth-75f4676cdc-n84lh,233,396
2026-02-12 05:13:38,default,op-node-fc4c5d564-dptkw,42,241
2026-02-12 05:13:38,default,op-rbuilder-784769bd78-bd7n,161,202
2026-02-12 05:13:38,default,rollup-boost-cb6c88c87-6qqtb,10,9
2026-02-12 05:13:38,default,validator-5c45f686bc-p6d5w,41,35
2026-02-12 05:13:38,testing,contender-85bb797bc8-x54s5,95,113
2026-02-12 05:13:49,default,beacon-85cbbc7d7b-dr7z,100,222
2026-02-12 05:13:49,default,el-584bddccc7-ljpwp,10,67
2026-02-12 05:13:49,default,op-batcher-7ddcb69467-jprj9,21,53
2026-02-12 05:13:49,default,op-geth-75f4676cdc-n84lh,233,396
2026-02-12 05:13:49,default,op-node-fc4c5d564-dptkw,42,241
2026-02-12 05:13:49,default,op-rbuilder-784769bd78-bd7n,161,202
2026-02-12 05:13:49,default,rollup-boost-cb6c88c87-6qqtb,10,9
2026-02-12 05:13:49,default,validator-5c45f686bc-p6d5w,41,35
2026-02-12 05:13:49,testing,contender-85bb797bc8-x54s5,95,113
2026-02-12 05:13:59,default,beacon-85cbbc7d7b-dr7z,69,223
2026-02-12 05:13:59,default,el-584bddccc7-ljpwp,9,67
