Row_Index,Block_Number,Total_Gas_Used
0,2096,11650852
1,2097,14260820
2,2098,14045568
3,2099,13749592
4,2100,13803396
5,2101,13668832
6,2102,13776464
7,2103,13857200
8,2104,13749580
9,2105,13722684
10,2106,13911040
11,2107,13776488
12,2108,13722684
13,2109,13668880
14,2110,13911004
15,2111,13615016
16,2112,13857188
17,2113,13722672
18,2114,13507432
19,2115,13776500
20,2116,13749580
21,2117,13830316
22,2118,13749592
23,2119,13911016
24,2120,13695740
25,2121,13695740
26,2122,13991728
27,2123,13668880
28,2124,13803396
29,2125,13830316
30,2126,13695776
31,2127,13830304
32,2128,13722684
33,2129,13641936
34,2130,13991728
35,2131,13695740
36,2132,13776488
37,2133,13668868
38,2134,13803408
39,2135,13695776
40,2136,13857212
41,2137,13776500
42,2138,13776488
43,2139,13507384
44,2140,13803372
45,2141,13884108
46,2142,13722684
47,2143,13884120
48,2144,13668868
49,2145,13857224
50,2146,13776500
51,2147,13749580
52,2148,13830292
53,2149,13776464
54,2150,13722648
55,2151,13776488
56,2152,13776500
57,2153,13695776
58,2154,14072464
59,2155,13695776
60,2156,13615064
61,2157,13803396
62,2158,13668832
63,2159,13722648
64,2160,14099360
65,2161,13830304
66,2162,13507432
67,2163,13668868
68,2164,13722684
69,2165,13830304
70,2166,13884132
71,2167,13776476
72,2168,13561200
73,2169,13695740
74,2170,13991752
75,2171,13776488
76,2172,13857224
77,2173,13722684
78,2174,13615052
79,2175,14233912
80,2176,13534340
81,2177,13480476
82,2178,13964820
83,2179,13749556
84,2180,13857212
85,2181,13588156
86,2182,13803408
87,2183,13588144
88,2184,14018660
89,2185,13722684
90,2186,13534304
91,2187,13830280
92,2188,13937912
93,2189,13695764
94,2190,14018660
95,2191,13803396
96,2192,13507432
97,2193,13830304
98,2194,13884132
99,2195,13668868
100,2196,13911004
101,2197,13749556
102,2198,13588108
103,2199,13884120
104,2200,13911040
105,2201,13615052
106,2202,13991752
107,2203,13803408
108,2204,13561236
109,2205,13668856
110,2206,13991728
111,2207,13615016
112,2208,13964820
113,2209,13937936
114,2210,13480524
115,2211,13722684
116,2212,13964844
117,2213,13588156
118,2214,13857212
119,2215,14018648
120,2216,13561200
121,2217,13615016
122,2218,14072464
123,2219,13668868
124,2220,13884120
125,2221,13884132
126,2222,13615052
127,2223,13695776
128,2224,13964844
129,2225,13615028
130,2226,13964820
131,2227,13722648
132,2228,13803396
133,2229,13722684
134,2230,13749592
135,2231,13803396
136,2232,14153188
137,2233,13615064
138,2234,13668868
139,2235,13803372
140,2236,13803372
141,2237,13884096
142,2238,13911016
143,2239,13749592
144,2240,13695776
145,2241,13803408
146,2242,13641960
147,2243,13695776
148,2244,14045568
149,2245,13668832
150,2246,13776464
151,2247,13749556
152,2248,13830316
153,2249,13695776
154,2250,13964844
155,2251,13857212
156,2252,13749592
157,2253,13561248
158,2254,4574156
