Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-12 04:58:48,41,269
1,2026-02-12 04:58:58,27,270
2,2026-02-12 04:59:08,8,270
3,2026-02-12 04:59:18,8,270
4,2026-02-12 04:59:28,7,270
5,2026-02-12 04:59:39,7,270
6,2026-02-12 04:59:49,7,270
7,2026-02-12 04:59:59,7,271
8,2026-02-12 05:00:09,7,271
9,2026-02-12 05:00:19,7,271
10,2026-02-12 05:00:29,8,273
11,2026-02-12 05:00:39,8,274
12,2026-02-12 05:00:49,8,274
13,2026-02-12 05:00:59,8,274
14,2026-02-12 05:01:10,8,274
15,2026-02-12 05:01:20,8,274
16,2026-02-12 05:01:30,7,274
17,2026-02-12 05:01:40,7,275
18,2026-02-12 05:01:50,29,275
19,2026-02-12 05:02:00,29,275
20,2026-02-12 05:02:10,92,278
21,2026-02-12 05:02:20,85,280
22,2026-02-12 05:02:31,85,280
23,2026-02-12 05:02:41,91,282
24,2026-02-12 05:02:51,91,282
25,2026-02-12 05:03:01,91,282
26,2026-02-12 05:03:11,93,286
27,2026-02-12 05:03:21,90,289
28,2026-02-12 05:03:31,90,289
29,2026-02-12 05:03:41,97,294
30,2026-02-12 05:03:51,91,297
31,2026-02-12 05:04:02,91,297
32,2026-02-12 05:04:12,95,299
33,2026-02-12 05:04:22,95,300
34,2026-02-12 05:04:32,95,300
35,2026-02-12 05:04:42,101,302
36,2026-02-12 05:04:52,95,306
37,2026-02-12 05:05:02,95,306
38,2026-02-12 05:05:12,92,308
39,2026-02-12 05:05:23,96,309
40,2026-02-12 05:05:33,96,309
41,2026-02-12 05:05:43,96,315
42,2026-02-12 05:05:53,96,315
43,2026-02-12 05:06:03,96,315
44,2026-02-12 05:06:13,92,317
45,2026-02-12 05:06:23,94,319
46,2026-02-12 05:06:33,94,319
47,2026-02-12 05:06:44,98,325
