Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-node-fc4c5d564-dptkw,2026-02-12 04:24:53,33,167
1,op-node-fc4c5d564-dptkw,2026-02-12 04:25:03,33,167
2,op-node-fc4c5d564-dptkw,2026-02-12 04:25:14,30,167
3,op-node-fc4c5d564-dptkw,2026-02-12 04:25:24,31,167
4,op-node-fc4c5d564-dptkw,2026-02-12 04:25:34,31,167
5,op-node-fc4c5d564-dptkw,2026-02-12 04:25:44,29,177
6,op-node-fc4c5d564-dptkw,2026-02-12 04:25:54,24,177
7,op-node-fc4c5d564-dptkw,2026-02-12 04:26:04,24,177
8,op-node-fc4c5d564-dptkw,2026-02-12 04:26:14,25,177
9,op-node-fc4c5d564-dptkw,2026-02-12 04:26:24,23,177
10,op-node-fc4c5d564-dptkw,2026-02-12 04:26:35,23,177
11,op-node-fc4c5d564-dptkw,2026-02-12 04:26:45,25,177
12,op-node-fc4c5d564-dptkw,2026-02-12 04:26:55,25,177
13,op-node-fc4c5d564-dptkw,2026-02-12 04:27:05,25,177
14,op-node-fc4c5d564-dptkw,2026-02-12 04:27:15,23,177
15,op-node-fc4c5d564-dptkw,2026-02-12 04:27:25,26,177
16,op-node-fc4c5d564-dptkw,2026-02-12 04:27:35,29,180
17,op-node-fc4c5d564-dptkw,2026-02-12 04:27:45,29,180
18,op-node-fc4c5d564-dptkw,2026-02-12 04:27:55,26,180
19,op-node-fc4c5d564-dptkw,2026-02-12 04:28:06,26,180
20,op-node-fc4c5d564-dptkw,2026-02-12 04:28:16,26,180
21,op-node-fc4c5d564-dptkw,2026-02-12 04:28:26,27,180
22,op-node-fc4c5d564-dptkw,2026-02-12 04:28:36,23,180
23,op-node-fc4c5d564-dptkw,2026-02-12 04:28:46,23,180
24,op-node-fc4c5d564-dptkw,2026-02-12 04:28:56,23,180
25,op-node-fc4c5d564-dptkw,2026-02-12 04:29:06,28,180
26,op-node-fc4c5d564-dptkw,2026-02-12 04:29:16,28,180
27,op-node-fc4c5d564-dptkw,2026-02-12 04:29:26,29,181
28,op-node-fc4c5d564-dptkw,2026-02-12 04:29:37,29,181
29,op-node-fc4c5d564-dptkw,2026-02-12 04:29:47,29,181
30,op-node-fc4c5d564-dptkw,2026-02-12 04:29:57,23,181
31,op-node-fc4c5d564-dptkw,2026-02-12 04:30:07,34,188
32,op-node-fc4c5d564-dptkw,2026-02-12 04:30:17,34,188
33,op-node-fc4c5d564-dptkw,2026-02-12 04:30:27,38,188
34,op-node-fc4c5d564-dptkw,2026-02-12 04:30:37,43,190
35,op-node-fc4c5d564-dptkw,2026-02-12 04:30:48,43,190
36,op-node-fc4c5d564-dptkw,2026-02-12 04:30:58,40,190
37,op-node-fc4c5d564-dptkw,2026-02-12 04:31:08,41,199
38,op-node-fc4c5d564-dptkw,2026-02-12 04:31:18,41,199
39,op-node-fc4c5d564-dptkw,2026-02-12 04:31:28,40,199
40,op-node-fc4c5d564-dptkw,2026-02-12 04:31:38,42,199
41,op-node-fc4c5d564-dptkw,2026-02-12 04:31:48,42,199
42,op-node-fc4c5d564-dptkw,2026-02-12 04:31:58,46,200
43,op-node-fc4c5d564-dptkw,2026-02-12 04:32:09,37,200
44,op-node-fc4c5d564-dptkw,2026-02-12 04:32:19,37,200
45,op-node-fc4c5d564-dptkw,2026-02-12 04:32:29,40,200
46,op-node-fc4c5d564-dptkw,2026-02-12 04:32:39,43,197
47,op-node-fc4c5d564-dptkw,2026-02-12 04:32:49,43,197
48,op-node-fc4c5d564-dptkw,2026-02-12 04:32:59,42,196
49,op-node-fc4c5d564-dptkw,2026-02-12 04:33:09,41,196
50,op-node-fc4c5d564-dptkw,2026-02-12 04:33:19,41,196
51,op-node-fc4c5d564-dptkw,2026-02-12 04:33:30,40,199
52,op-node-fc4c5d564-dptkw,2026-02-12 04:33:40,42,200
53,op-node-fc4c5d564-dptkw,2026-02-12 04:33:50,42,200
54,op-node-fc4c5d564-dptkw,2026-02-12 04:34:00,42,200
55,op-node-fc4c5d564-dptkw,2026-02-12 04:34:10,43,201
56,op-node-fc4c5d564-dptkw,2026-02-12 04:34:20,39,203
57,op-node-fc4c5d564-dptkw,2026-02-12 04:34:30,39,203
58,op-node-fc4c5d564-dptkw,2026-02-12 04:34:40,36,203
59,op-node-fc4c5d564-dptkw,2026-02-12 04:34:51,43,213
60,op-node-fc4c5d564-dptkw,2026-02-12 04:35:01,43,213
61,op-node-fc4c5d564-dptkw,2026-02-12 04:35:11,40,213
62,op-node-fc4c5d564-dptkw,2026-02-12 04:35:21,35,213
