Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:37,3,21
1,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:47,3,21
2,op-batcher-7ddcb69467-jprj9,2026-02-12 04:29:57,3,22
3,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:07,23,29
4,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:17,23,29
5,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:27,20,37
6,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:37,22,43
7,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:48,22,43
8,op-batcher-7ddcb69467-jprj9,2026-02-12 04:30:58,18,51
9,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:08,22,52
10,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:18,22,52
11,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:28,23,56
12,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:38,20,60
13,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:48,20,60
14,op-batcher-7ddcb69467-jprj9,2026-02-12 04:31:58,22,53
15,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:09,22,57
16,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:19,22,57
17,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:29,25,61
18,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:39,20,68
19,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:49,20,68
20,op-batcher-7ddcb69467-jprj9,2026-02-12 04:32:59,24,70
21,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:09,20,70
22,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:19,20,70
23,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:30,22,76
24,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:40,23,81
25,op-batcher-7ddcb69467-jprj9,2026-02-12 04:33:50,23,81
26,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:00,25,88
27,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:10,18,88
28,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:20,21,97
29,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:30,21,97
30,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:40,23,97
31,op-batcher-7ddcb69467-jprj9,2026-02-12 04:34:51,24,97
