Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-geth-75f4676cdc-n84lh,2026-02-12 04:29:37,7,182
1,op-geth-75f4676cdc-n84lh,2026-02-12 04:29:47,7,182
2,op-geth-75f4676cdc-n84lh,2026-02-12 04:29:57,92,185
3,op-geth-75f4676cdc-n84lh,2026-02-12 04:30:07,227,184
4,op-geth-75f4676cdc-n84lh,2026-02-12 04:30:17,227,184
5,op-geth-75f4676cdc-n84lh,2026-02-12 04:30:27,227,202
6,op-geth-75f4676cdc-n84lh,2026-02-12 04:30:37,216,208
7,op-geth-75f4676cdc-n84lh,2026-02-12 04:30:48,216,208
8,op-geth-75f4676cdc-n84lh,2026-02-12 04:30:58,238,232
9,op-geth-75f4676cdc-n84lh,2026-02-12 04:31:08,238,232
10,op-geth-75f4676cdc-n84lh,2026-02-12 04:31:18,238,232
11,op-geth-75f4676cdc-n84lh,2026-02-12 04:31:28,223,240
12,op-geth-75f4676cdc-n84lh,2026-02-12 04:31:38,243,247
13,op-geth-75f4676cdc-n84lh,2026-02-12 04:31:48,243,247
14,op-geth-75f4676cdc-n84lh,2026-02-12 04:31:58,226,254
15,op-geth-75f4676cdc-n84lh,2026-02-12 04:32:09,235,257
16,op-geth-75f4676cdc-n84lh,2026-02-12 04:32:19,235,257
17,op-geth-75f4676cdc-n84lh,2026-02-12 04:32:29,235,267
18,op-geth-75f4676cdc-n84lh,2026-02-12 04:32:39,235,267
19,op-geth-75f4676cdc-n84lh,2026-02-12 04:32:49,235,267
20,op-geth-75f4676cdc-n84lh,2026-02-12 04:32:59,218,275
21,op-geth-75f4676cdc-n84lh,2026-02-12 04:33:09,232,284
22,op-geth-75f4676cdc-n84lh,2026-02-12 04:33:19,232,284
23,op-geth-75f4676cdc-n84lh,2026-02-12 04:33:30,228,287
24,op-geth-75f4676cdc-n84lh,2026-02-12 04:33:40,235,295
25,op-geth-75f4676cdc-n84lh,2026-02-12 04:33:50,235,295
26,op-geth-75f4676cdc-n84lh,2026-02-12 04:34:00,225,297
27,op-geth-75f4676cdc-n84lh,2026-02-12 04:34:10,239,314
28,op-geth-75f4676cdc-n84lh,2026-02-12 04:34:20,242,331
29,op-geth-75f4676cdc-n84lh,2026-02-12 04:34:30,242,331
30,op-geth-75f4676cdc-n84lh,2026-02-12 04:34:40,242,331
31,op-geth-75f4676cdc-n84lh,2026-02-12 04:34:51,232,342
