Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1770870575,197,324.5
1,1770870576,452,480.5
2,1770870577,509,636.5
3,1770870578,764,631.5
4,1770870579,499,627.0
5,1770870580,755,618.0
6,1770870581,481,609.0
7,1770870582,737,609.0
8,1770870583,481,609.0
9,1770870584,737,609.5
10,1770870585,482,610.0
11,1770870586,738,611.0
12,1770870587,484,612.5
13,1770870588,741,610.5
14,1770870589,480,609.0
15,1770870590,738,613.5
16,1770870591,489,617.0
17,1770870592,745,614.5
18,1770870593,484,611.5
19,1770870594,739,610.5
20,1770870595,482,610.5
21,1770870596,739,608.5
22,1770870597,478,605.5
23,1770870598,733,606.5
24,1770870599,480,608.0
25,1770870600,736,608.5
26,1770870601,481,609.0
27,1770870602,737,608.0
28,1770870603,479,606.5
29,1770870604,734,607.5
30,1770870605,481,609.0
31,1770870606,737,609.5
32,1770870607,482,612.5
33,1770870608,743,613.0
34,1770870609,483,610.0
35,1770870610,737,612.5
36,1770870611,488,616.0
37,1770870612,744,609.5
38,1770870613,475,603.0
39,1770870614,731,603.5
40,1770870615,476,603.5
41,1770870616,731,603.0
42,1770870617,475,602.0
43,1770870618,729,605.0
44,1770870619,481,609.0
45,1770870620,737,607.5
46,1770870621,478,605.0
47,1770870622,732,607.0
48,1770870623,482,610.0
49,1770870624,738,608.5
50,1770870625,479,607.5
51,1770870626,736,608.0
52,1770870627,480,608.0
53,1770870628,736,612.0
54,1770870629,488,616.0
55,1770870630,744,614.5
56,1770870631,485,612.5
57,1770870632,740,608.0
58,1770870633,476,603.5
59,1770870634,731,607.5
60,1770870635,484,612.0
61,1770870636,740,607.0
62,1770870637,474,601.5
63,1770870638,729,603.0
64,1770870639,477,604.5
65,1770870640,732,604.5
66,1770870641,477,604.5
67,1770870642,732,607.5
68,1770870643,483,610.0
69,1770870644,737,609.0
70,1770870645,481,609.0
71,1770870646,737,613.5
72,1770870647,490,617.5
73,1770870648,745,612.5
74,1770870649,480,607.0
75,1770870650,734,605.5
76,1770870651,477,605.0
77,1770870652,733,606.0
78,1770870653,479,607.0
79,1770870654,735,609.0
80,1770870655,483,610.5
81,1770870656,738,608.0
82,1770870657,478,606.0
83,1770870658,734,605.5
84,1770870659,477,604.5
85,1770870660,732,602.0
86,1770870661,472,599.5
87,1770870662,727,603.0
88,1770870663,479,607.5
89,1770870664,736,609.0
90,1770870665,482,609.5
91,1770870666,737,609.0
92,1770870667,481,608.0
93,1770870668,735,604.5
94,1770870669,474,602.0
95,1770870670,730,606.0
96,1770870671,482,609.0
97,1770870672,736,604.5
98,1770870673,473,600.5
99,1770870674,728,603.0
100,1770870675,478,606.0
101,1770870676,734,606.5
102,1770870677,479,606.0
103,1770870678,733,607.5
104,1770870679,482,609.5
105,1770870680,737,606.5
106,1770870681,476,605.5
107,1770870682,735,611.0
108,1770870683,487,614.5
109,1770870684,742,610.0
110,1770870685,478,606.0
111,1770870686,734,604.5
112,1770870687,475,603.0
113,1770870688,731,603.5
114,1770870689,476,604.0
115,1770870690,732,608.0
116,1770870691,484,611.5
117,1770870692,739,610.0
118,1770870693,481,608.5
119,1770870694,736,608.5
120,1770870695,481,608.5
121,1770870696,736,606.0
122,1770870697,476,603.5
123,1770870698,731,603.0
124,1770870699,475,606.0
125,1770870700,737,611.5
126,1770870701,486,614.5
127,1770870702,743,616.0
128,1770870703,489,616.5
129,1770870704,744,612.0
130,1770870705,480,607.5
131,1770870706,735,608.5
132,1770870707,482,610.0
133,1770870708,738,608.0
134,1770870709,478,606.0
135,1770870710,734,604.5
136,1770870711,475,602.5
137,1770870712,730,605.5
138,1770870713,481,608.5
139,1770870714,736,608.5
140,1770870715,481,609.5
141,1770870716,738,610.5
142,1770870717,483,609.5
143,1770870718,736,611.5
144,1770870719,487,615.0
145,1770870720,743,612.5
146,1770870721,482,610.0
147,1770870722,738,607.0
148,1770870723,476,604.0
149,1770870724,732,605.5
150,1770870725,479,607.0
151,1770870726,735,607.5
152,1770870727,480,608.0
153,1770870728,736,608.5
154,1770870729,481,609.0
155,1770870730,737,610.0
156,1770870731,483,610.5
157,1770870732,738,608.0
158,1770870733,478,605.5
159,1770870734,733,603.5
160,1770870735,474,602.0
161,1770870736,730,605.5
162,1770870737,481,611.0
163,1770870738,741,616.0
164,1770870739,491,618.5
165,1770870740,746,615.5
166,1770870741,485,612.0
167,1770870742,739,611.5
168,1770870743,484,612.0
169,1770870744,740,608.5
170,1770870745,477,603.5
171,1770870746,730,603.0
172,1770870747,476,603.5
173,1770870748,731,604.5
174,1770870749,478,605.0
175,1770870750,732,608.5
176,1770870751,485,613.0
177,1770870752,741,611.0
178,1770870753,481,609.5
179,1770870754,738,612.0
180,1770870755,486,615.0
181,1770870756,744,614.0
182,1770870757,484,611.5
183,1770870758,739,609.5
184,1770870759,480,607.5
185,1770870760,735,606.0
186,1770870761,477,606.0
187,1770870762,735,611.0
188,1770870763,487,615.5
189,1770870764,744,613.5
190,1770870765,483,611.0
191,1770870766,739,609.0
192,1770870767,479,607.5
193,1770870768,736,609.0
194,1770870769,482,610.0
195,1770870770,738,607.5
196,1770870771,477,604.5
197,1770870772,732,605.5
198,1770870773,479,607.0
199,1770870774,735,607.0
200,1770870775,479,609.5
201,1770870776,740,614.0
202,1770870777,488,615.5
203,1770870778,743,615.0
204,1770870779,487,615.0
205,1770870780,743,609.5
206,1770870781,476,604.0
207,1770870782,732,605.5
208,1770870783,479,607.0
209,1770870784,735,609.5
210,1770870785,484,612.0
211,1770870786,740,612.5
212,1770870787,485,613.0
213,1770870788,741,609.5
214,1770870789,478,605.0
215,1770870790,732,607.5
216,1770870791,483,611.0
217,1770870792,739,609.5
218,1770870793,480,608.5
219,1770870794,737,609.5
220,1770870795,482,610.5
221,1770870796,739,613.0
222,1770870797,487,615.0
223,1770870798,743,613.5
224,1770870799,484,611.5
225,1770870800,739,609.5
226,1770870801,480,608.0
227,1770870802,736,609.5
228,1770870803,483,610.5
229,1770870804,738,605.0
230,1770870805,472,600.0
231,1770870806,728,602.0
232,1770870807,476,603.5
233,1770870808,731,603.5
234,1770870809,476,603.5
235,1770870810,731,605.0
236,1770870811,479,606.5
237,1770870812,734,605.0
238,1770870813,476,606.0
239,1770870814,736,610.0
240,1770870815,484,612.0
241,1770870816,740,610.0
242,1770870817,480,607.5
243,1770870818,735,601.5
244,1770870819,468,595.5
245,1770870820,723,600.0
246,1770870821,477,604.5
247,1770870822,732,606.0
248,1770870823,480,607.0
249,1770870824,734,604.5
250,1770870825,475,603.0
251,1770870826,731,607.0
252,1770870827,483,610.5
253,1770870828,738,605.5
254,1770870829,473,599.5
255,1770870830,726,600.0
256,1770870831,474,604.0
257,1770870832,734,606.0
258,1770870833,478,606.0
259,1770870834,734,607.5
260,1770870835,481,609.0
261,1770870836,737,609.5
262,1770870837,482,610.0
263,1770870838,738,607.5
264,1770870839,477,604.5
265,1770870840,732,603.5
266,1770870841,475,603.0
267,1770870842,731,605.5
268,1770870843,480,607.5
269,1770870844,735,604.5
270,1770870845,474,602.0
271,1770870846,730,606.0
272,1770870847,482,610.0
273,1770870848,738,606.5
274,1770870849,475,602.5
275,1770870850,730,606.5
276,1770870851,483,611.0
277,1770870852,739,609.0
278,1770870853,479,607.0
279,1770870854,735,604.0
280,1770870855,473,601.0
281,1770870856,729,604.0
282,1770870857,479,606.0
283,1770870858,733,605.5
284,1770870859,478,605.0
285,1770870860,732,602.5
286,1770870861,473,600.5
287,1770870862,728,602.5
288,1770870863,477,604.5
289,1770870864,732,603.5
290,1770870865,475,603.0
291,1770870866,731,603.5
292,1770870867,476,604.0
293,1770870868,732,605.5
294,1770870869,479,606.0
295,1770870870,733,610.0
296,1770870871,487,614.5
297,1770870872,742,610.0
298,1770870873,478,606.0
299,1770870874,734,608.5
300,1770870875,483,611.0
301,1770870876,739,604.0
302,1770870877,469,596.5
303,1770870878,724,597.5
304,1770870879,471,598.5
305,1770870880,726,603.0
306,1770870881,480,608.0
307,1770870882,736,606.0
308,1770870883,476,604.0
309,1770870884,732,607.5
310,1770870885,483,611.5
311,1770870886,740,615.0
312,1770870887,490,619.0
313,1770870888,748,614.0
314,1770870889,480,607.5
315,1770870890,735,607.5
316,1770870891,480,508.5
317,1770870892,537,280.0
318,1770870893,23,23.0
319,1770870894,23,11.5
320,1770870895,0,0.0
