node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_getBlockByNumber,100,100.01606832482916,99.94679192939286,1.0,0.001143137,0.005689652,0.003154227,0.011482981,0.011721318,0.012114242,0.041581284,6000
nopbs-native,eth_getBlockByNumber,200,200.0149161457074,199.86978320397273,1.0,0.00096689,0.004133539,0.003204352,0.006486714,0.006754385,0.007169394,0.043565,12000
nopbs-native,eth_getBlockByNumber,300,300.0165065431699,299.80073750477425,1.0,0.000593531,0.003687556,0.003955511,0.004914289,0.005122094,0.005480753,0.043180114,18000
nopbs-native,eth_getBlockByNumber,400,400.01745906868115,399.73472321285357,1.0,0.000724723,0.003449057,0.003481007,0.00419888,0.004380085,0.004771435,0.042436671,24000
nopbs-native,eth_getBlockByNumber,500,500.0143684045569,499.6611016100358,1.0,0.000550717,0.002995912,0.002936833,0.003668855,0.003872068,0.0044126,0.042419549,30000
nopbs-native,eth_getBlockByNumber,600,600.0143004308292,599.5854166736341,1.0,0.000694031,0.00272613,0.002675382,0.003373678,0.003588784,0.004312954,0.042917008,36000
nopbs-native,eth_getBlockByNumber,700,700.0183200744519,699.5268086578701,1.0,0.000622021,0.002542014,0.00248408,0.003193102,0.003457848,0.004514932,0.042156945,42000
nopbs-native,eth_getBlockByNumber,800,800.0212856196653,799.465622161518,1.0,0.000540584,0.002457567,0.002380716,0.003175,0.00355643,0.004439462,0.042450954,48000
nopbs-native,eth_getBlockByNumber,900,900.008314096804,899.3721975395046,1.0,0.000578571,0.002464231,0.002369548,0.003310168,0.003678321,0.004661897,0.042436981,54000
nopbs-native,eth_getBlockByNumber,1000,1000.0128314646444,999.3158485336743,1.0,0.000515633,0.002515824,0.002450005,0.003381424,0.003730748,0.004757276,0.041847069,60000
