node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_getTransactionByHash,100,100.01679206759526,99.94566220534509,1.0,0.001348767,0.008141037,0.010700719,0.011672946,0.011866666,0.012214971,0.042693951,6000
nopbs-native,eth_getTransactionByHash,200,200.01695021309357,199.87818164378083,1.0,0.000759776,0.005434129,0.005958137,0.006716241,0.006912222,0.007276031,0.041652413,12000
nopbs-native,eth_getTransactionByHash,300,300.01947646436014,300.00508592622066,1.0,0.001160366,0.004182397,0.004276531,0.00501457,0.005198864,0.005544531,0.013601579,18000
nopbs-native,eth_getTransactionByHash,400,400.02007404736787,399.7277818030285,1.0,0.000994143,0.003476267,0.003493278,0.004182283,0.004374608,0.00479851,0.043871493,24000
nopbs-native,eth_getTransactionByHash,500,500.0177397877111,499.65795265295804,1.0,0.000883077,0.003061339,0.003005398,0.00370062,0.003897163,0.004458697,0.043202479,30000
nopbs-native,eth_getTransactionByHash,600,600.0185843756138,599.5850357608228,1.0,0.000962383,0.002847623,0.002785745,0.003465364,0.003719155,0.004895855,0.043383523,36000
nopbs-native,eth_getTransactionByHash,700,700.0171598356468,699.5281455078726,1.0,0.000950417,0.002776743,0.002675382,0.003661489,0.004107626,0.004834348,0.041942759,42000
nopbs-native,eth_getTransactionByHash,800,800.0251720186799,799.4488214756898,1.0,0.000761913,0.002708857,0.002608283,0.003673985,0.003990063,0.004708467,0.045546087,48000
nopbs-native,eth_getTransactionByHash,900,900.0303810655312,899.3904584280349,1.0,0.000536475,0.002750987,0.002673383,0.003688771,0.004003745,0.00511472,0.043551549,54000
nopbs-native,eth_getTransactionByHash,1000,1000.0125418739633,999.3027442880793,1.0,0.000703525,0.002682632,0.002634552,0.00362793,0.003984782,0.00495473,0.042617036,60000
