node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_getTransactionReceipt,100,100.01641178802588,100.0113948682823,1.0,0.001233435,0.008698017,0.010897014,0.01172975,0.011910643,0.012239118,0.021411159,6000
nopbs-native,eth_getTransactionReceipt,200,200.01443169796104,199.87154389121807,1.0,0.001182007,0.005046291,0.005783365,0.006656563,0.006863939,0.007225577,0.042890797,12000
nopbs-native,eth_getTransactionReceipt,300,300.0192752483711,299.81259229034526,1.0,0.000818207,0.004131153,0.00424873,0.005019349,0.005205891,0.005583682,0.041359773,18000
nopbs-native,eth_getTransactionReceipt,400,400.0141108377718,399.7256808099844,1.0,0.000703383,0.003496829,0.003502941,0.004201497,0.004382094,0.00483377,0.043292668,24000
nopbs-native,eth_getTransactionReceipt,500,500.01547295380976,499.66373931967826,1.0,0.001052502,0.003026343,0.002981808,0.003652901,0.003854636,0.004443443,0.042235134,30000
nopbs-native,eth_getTransactionReceipt,600,600.0135080041034,599.5930654801512,1.0,0.000838938,0.002868597,0.002794714,0.003491948,0.003753783,0.005002617,0.04207184,36000
nopbs-native,eth_getTransactionReceipt,700,700.0177777914884,699.5246016466955,1.0,0.000525437,0.00274901,0.002653848,0.003626205,0.004079906,0.004796853,0.042299895,42000
nopbs-native,eth_getTransactionReceipt,800,800.0173612300905,799.4565823926124,1.0,0.000661031,0.00270609,0.002611575,0.003686782,0.004009282,0.004718072,0.042086088,48000
nopbs-native,eth_getTransactionReceipt,900,900.0316636689474,899.3994541207437,1.0,0.000704728,0.002699756,0.002623094,0.003631575,0.003964724,0.005057754,0.042173962,54000
nopbs-native,eth_getTransactionReceipt,1000,1000.0161073094413,999.3198326924445,1.0,0.000603906,0.002725622,0.002671356,0.003645717,0.00400814,0.00499846,0.042920218,60000
