num_clients,avg_latency_s,p95_latency_s,throughput_tx_per_s
1,3.5957624117533364,3.9841623306274414,0.3
2,3.1307437419891357,4.006086826324463,0.7
4,3.647657493750254,4.066899538040161,1.2
8,3.1848331093788147,4.06288480758667,2.8
16,3.5366831636428833,4.059312582015991,5.0
32,3.611374766556258,4.076343536376953,9.7
64,4.184984507660071,4.886882066726685,19.2
128,34.147532001663656,59.84119439125061,17.0
256,44.22024030983448,54.27271795272827,22.4
512,76.5730210758391,113.63763523101807,10.5
1024,108.97483219963605,114.191082239151,24.4
