row_id,num_clients,avg_latency_s,p95_latency_s
0,1,4.107009410858154,4.11444354057312
1,2,3.3273105025291443,4.087499141693115
2,4,3.6035540103912354,4.113972187042236
3,8,3.3657213002443314,4.156712532043457
4,16,3.38568097894842,4.205377101898193
5,32,3.4275562359736518,4.153391122817993
6,64,4.249904815141146,5.013824224472046
7,128,24.736238952996075,39.72360563278198
8,256,39.25986152337148,53.86373686790466
9,512,45.7825298730744,54.021281719207764
10,1024,101.99542828677173,113.61074185371399
